Contestans,Total score,Jury score,Televoting score,Jury vote,Iceland,Azerbaijan,San Marino,Czech Republic,Ireland,Georgia,Bosnia and Herzegovina,Malta,Spain,Finland,Switzerland,Denmark,France,Moldova,Armenia,Cyprus,Bulgaria,Netherlands,Latvia,Israel,Belarus,Germany,Russia,Norway,Australia,Belgium,United Kingdom,Croatia,Greece,Lithuania,Serbia,Macedonia,Albania,Estonia,Ukraine,Italy,Poland,Slovenia,Hungary,Montenegro,Sweden
Belgium,181,130,51,5,3,,,2,12,10,,,,,10,8,,,4,,10,4,,6,4,5,,5,12,,,,,5,,4,,,10,,,8,,3,
Czech Republic,41,41,0,4,5,,,,2,,6,,,3,,,,,1,,,,,,,,,,,1,,10,,,,,,,,,4,,2,,3
Netherlands,153,114,39,,12,,4,7,8,,,,3,10,5,7,7,,,,2,,3,,,4,,6,3,4,,,,,5,2,,6,,4,,1,6,,5
Azerbaijan,117,44,73,,,,,,,,1,,2,,,,,,,2,,1,,,2,,10,,,,,,1,,,1,,,7,,,,7,,10
Hungary,108,52,56,,,4,2,10,,,,,10,,,,,,,4,,,,,,,1,,,,,5,3,,,,1,,2,,,3,,7,
Italy,124,90,34,,,,10,,6,,,8,5,2,2,,12,,,3,,6,,,,3,,12,,10,,3,,,,,8,,,,,,,,
Israel,135,124,11,,,3,,,4,3,,1,1,7,8,2,,,,5,,7,2,,,12,,3,10,2,3,7,,6,7,5,3,,6,8,7,2,,,
Bulgaria,307,127,180,,,8,,,10,,3,10,,,1,6,10,,7,,,,1,7,1,,,8,8,6,5,,,2,4,10,4,,1,,3,10,,2,
Sweden,261,122,139,8,6,,,12,5,6,,,,12,,4,5,6,,,,10,8,,8,10,,,,,,,,,,,,12,4,2,,,4,,
Germany,11,1,10,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,257,148,109,7,2,,,5,3,4,7,6,7,1,,,,,12,7,,5,,8,,,7,,6,8,6,8,6,1,,,10,1,,7,1,,,5,8
Poland,229,7,222,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,3,,,,,,,,,,1,
Australia,511,320,191,12,10,7,,,,8,10,3,8,8,12,10,6,10,5,10,8,12,5,10,6,6,2,10,,12,8,12,7,12,6,8,12,10,5,6,10,6,12,4,12
Cyprus,96,43,53,,,,5,,,,,5,,,,,,2,6,,,,,,,,4,,,,7,1,8,,,,,4,,1,,,,,
Serbia,115,35,80,,,,,,,,8,,,,,,,,,,5,,,,,,,,,,2,2,,,,7,,,,,,5,,6,
Lithuania,200,104,96,1,,5,,3,,5,,,,6,7,5,,4,,,1,,10,1,10,1,,2,7,,4,,,,8,,,5,12,,2,,3,,2
Croatia,73,40,33,6,7,,,8,,2,4,,,,,,,1,,1,,,,3,,,,,1,,1,,,,,6,,,,,,,,,
Russia,491,130,361,3,8,12,7,,,,5,4,4,,,,1,7,2,12,6,,7,,12,,,,,,,6,12,,1,,7,,,,,,,8,6
Spain,77,67,10,,,1,,,,,,2,,,,1,3,8,3,,4,,,4,,,,7,5,,,,,,,,6,,,12,5,,5,,1
Latvia,132,69,63,,,,,1,1,7,,,,,3,,,,,,,,,5,,2,3,,,,,,,7,,3,,8,8,,6,7,8,,
Ukraine,534,211,323,,,10,12,,,12,12,,,,6,12,,12,,,,3,12,12,7,7,,4,2,3,10,,2,8,12,12,,7,,10,12,12,,,
Malta,153,137,16,10,4,6,3,6,,,,,6,5,,,4,3,8,6,7,,4,,5,,8,,,,,,4,,10,,2,2,,5,,,10,12,7
Georgia,104,80,24,,,,6,,,,,,,,,,,,10,,3,,,,,8,5,,,7,12,,5,10,,,,,3,3,8,,,,
Austria,151,31,120,,1,,1,,,,,,,4,4,,8,,,,,8,,,,,,,,5,,,,,,,,,,,,,,,
United Kingdom,62,54,8,,,,8,4,7,,,12,,,,3,,,,,,,,,,,6,,4,,,,,,2,,5,3,,,,,,,
Armenia,249,115,134,2,,,,,,,2,7,12,,,,2,5,,8,12,2,6,2,3,,12,,,,,4,10,4,3,,,,,,,4,1,10,4
