Contestants,Total score,Jury score,Televoting score,Sweden,Azerbaijan,San Marino,Latvia,Israel,Montenegro,Albania,Malta,Macedonia,Denmark,Austria,Norway,Spain,Finland,France,Greece,Lithuania,Estonia,Moldova,Armenia,Bulgaria,Iceland,Serbia,Australia,Italy,Germany,Portugal,Switzerland,Netherlands,Ireland,Georgia,Cyprus,Belarus,Romania,Hungary,Slovenia,Belgium,Poland,United Kingdom,Croatia,Czech Republic,Ukraine
Israel,39,34,5,,4,,,,,,7,,,,5,,,6,,,,,,8,,1,,,,,,,,,,1,2,,,,,,,,
Poland,64,23,41,,6,1,,,,,,,,,,,,,,,,,,7,,,2,,,,,,,,,2,,,4,,,,,1,
Belarus,83,50,33,,12,,2,1,,,2,,,7,,,,,3,,,3,,2,,,,,,,,,,,,,,,,,,1,5,,12
Austria,93,93,0,4,,,6,,1,,,,7,,,3,,1,,5,,2,1,12,,4,3,1,2,10,,3,7,5,,4,1,,,3,,3,1,4,
Armenia,79,58,21,,,4,,,4,7,1,,1,,,,,,8,3,,6,,4,,5,1,4,,,,,,3,,,,2,3,,2,,,,
Netherlands,150,135,15,3,,7,,,,,,,5,12,4,1,,4,,2,4,,,10,,,4,,7,3,7,,4,1,,5,12,8,1,,8,4,8,8,3
Moldova,374,110,264,8,10,,1,3,,,,6,3,,2,7,3,,7,,,,8,,,7,10,8,,6,,,,,,,8,,,,,6,,3,4
Hungary,200,48,152,,,,,,,,3,,,5,,,,,,,1,1,,,4,10,,,1,,3,,,,,,,,,,,,12,,8
Italy,334,126,208,6,,3,,2,8,12,12,,,6,7,10,7,10,4,8,,,2,,5,8,,,,,2,,,2,10,,,,2,,,,,,
Denmark,77,69,8,5,,,,,,,,7,,,8,,4,,,,5,,,,3,,5,,,,,8,,,,3,5,5,,,,2,3,6,
Portugal,758,382,376,12,8,12,12,12,,6,10,10,10,8,10,12,8,12,5,12,8,7,12,,12,12,7,5,10,,12,12,5,12,8,10,6,12,12,8,12,12,7,12,10
Azerbaijan,120,78,42,,,5,,,,2,,,,,,,,,10,,,5,,5,,,,12,,12,,,1,10,1,,,4,,4,1,,,,6
Croatia,128,25,103,,1,,,,5,,6,,,,,,,,,,,,,,,,,,3,,,,,,,,3,,,,,,,,7
Australia,173,171,2,10,,,5,,,4,,8,8,,3,8,10,2,,1,7,4,,,10,3,,,5,5,4,4,,,4,7,4,7,7,6,7,10,6,10,2
Greece,77,48,29,,5,,,,12,1,,,,,,2,,,,,,,10,6,,,,,,,,,,,12,,,,,,,,,,
Spain,5,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,158,129,29,,,10,7,5,,,,2,6,3,,,1,7,,10,10,,5,,1,,,3,12,2,5,7,2,7,,6,,6,,7,3,,2,,
United Kingdom,111,99,12,,,6,4,,,8,,3,,1,1,,2,3,1,,6,,4,,7,,12,,6,,,5,,,5,,,3,10,2,5,,,5,
Cyprus,68,36,32,2,,,,,,,,,,,,,5,,12,,,,7,,,,,,,1,,,,4,,,,,,5,,,,,
Romania,282,58,224,,3,,3,,10,3,5,4,,,,,,,6,,,12,,3,,,,,,,,1,8,,,,,,,,,,,,
Germany,6,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,
Ukraine,36,12,24,,7,,,4,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Belgium,363,108,255,1,,8,10,8,6,,,,2,2,,4,,,,4,2,,,,2,,,7,,8,6,2,12,,3,,,,5,,10,5,,,1
Sweden,344,218,126,,,,,10,7,,,1,12,4,6,5,12,8,,6,3,8,6,,8,2,6,10,4,7,10,6,6,8,6,8,7,1,6,12,4,8,4,7,
Bulgaria,615,278,337,7,2,2,8,7,2,10,8,12,4,10,12,6,6,5,2,7,12,10,,,6,6,8,2,8,,8,10,10,6,7,12,10,10,8,10,6,7,10,2,
France,135,45,90,,,,,6,3,5,4,5,,,,,,,,,,,3,,,,,6,,4,1,,,,2,,,,,1,,,,,5
