Contestants,Total score,Jury score,Televoting score,Jury vote,Azerbaijan,Belarus,San Marino,Netherlands,Macedonia,Malta,Georgia,Spain,Austria,Denmark,United Kingdom,Sweden,Latvia,Albania,Croatia,Ireland,Romania,Czech Republic,Iceland,Moldova,Belgium,Norway,France,Italy,Australia,Estonia,Serbia,Cyprus,Armenia,Bulgaria,Greece,Hungary,Montenegro,Germany,Finland,Russia,Switzerland,Israel,Poland,Lithuania,Slovenia,Portugal
Ukraine,130,11,119,,6,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,
Spain,61,43,18,,,,,,,,,,,6,1,,,,,1,10,,,,1,2,,,7,,,7,,,,,,6,,,,,,,,2
Slovenia,64,41,23,5,,4,6,1,2,,,,5,,,,1,,,,1,7,,,,,2,,,,,,,,,,,,,,,4,,,,3
Lithuania,181,90,91,,,5,,7,,,2,,,,,,4,,12,,6,1,,,,3,,,3,10,,,,10,,5,,4,,3,8,,1,,,6
Austria,342,271,71,7,,10,,10,,1,8,8,,8,12,10,7,,,5,12,5,12,3,12,8,7,7,5,12,4,2,1,12,,8,,10,7,,4,12,12,12,10,8
Estonia,245,143,102,1,3,,5,4,12,,10,1,2,7,6,,8,,,3,3,,7,12,,,,4,8,,3,1,,,3,,5,2,,6,10,,,,5,12
Norway,144,60,84,,,8,,3,,4,,,,,5,2,,,5,,,,,2,,,,12,,4,6,,,,,2,7,,,,,,,,,
Portugal,39,21,18,,,,,2,,,,,,,,,,,,6,,,,,,,,,,3,,,,,,,,,,,3,,,7,,
United Kingdom,48,23,25,,,,,,,,,,,,,,2,,2,,,,,,,,3,6,,,,,,,,,2,,,,,8,,,,
Serbia,113,38,75,,10,,3,,8,,,,,,,,,3,,,,,,,,,,,,,,,,,2,,12,,,,,,,,,
Germany,340,204,136,,2,,10,12,3,,7,7,10,12,,1,3,6,,8,4,,6,4,5,12,8,10,10,6,10,,5,6,,,,,1,4,12,5,10,5,,
Albania,184,126,58,,12,7,,,6,,4,,7,,7,,,,1,2,,6,10,,2,,,,,,1,6,,7,7,10,10,,,,,,7,,4,10
France,173,114,59,12,,,,,,8,,6,,2,,5,10,7,6,4,,,3,,3,7,,,,,,3,4,5,5,,,,5,2,,,,10,2,5
Czech Republic,281,66,215,4,,6,,,4,5,,4,3,,,,,1,4,,,,1,,7,,4,,1,,,5,6,8,,,,,,,,,,,3,
Denmark,226,38,188,3,,3,,,,,1,,,,,,,,,,,,,,,,,8,,,,,,,,12,6,,3,,,2,,,,
Australia,99,90,9,2,,2,2,,,3,,,,10,,8,6,,,,2,,,7,,6,10,,,,,,2,,,7,,7,,5,,7,4,,,
Finland,46,23,23,,,,,,5,,,,,,4,3,,,,,,3,,,,,,,,2,,,,,,,,,,,,6,,,,
Bulgaria,166,100,66,,5,,,,,2,6,,6,1,8,6,,8,7,10,,4,,8,,,,,,7,,,,,,,,,10,,2,1,2,,,7
Moldova,209,94,115,,7,,7,,,,,,,,,,,2,8,,7,,,,,,,,2,,5,10,10,,10,,8,,,12,,,,,6,
Sweden,274,253,21,6,,1,8,8,7,7,12,2,8,4,2,,12,4,,,,8,5,,8,10,5,1,12,5,12,12,12,2,8,1,,12,8,10,5,10,6,8,12,
Hungary,93,28,65,,8,,,,,,,,,,,,,,,,,2,,,,,,,,,,4,,,6,,,,,,,3,3,2,,
Israel,529,212,317,10,1,,12,5,1,6,3,10,12,3,10,7,,5,10,7,,12,8,10,6,,12,2,6,,2,,8,4,4,6,,1,12,8,1,,,6,1,1
Netherlands,121,89,32,8,,,,,,,5,,1,,,,5,,,,8,,,1,10,4,6,,,1,7,,3,,,4,3,5,,,,,8,3,7,
Ireland,136,74,62,,,,1,,,,,5,4,,3,4,,,3,,,10,4,,,1,1,5,4,,,,,1,,3,,8,2,,6,,5,4,,
Cyprus,436,183,253,,4,12,,6,10,12,,12,,5,,12,,10,,12,5,,2,6,4,5,,3,,8,,,7,3,12,,1,3,6,7,7,,,1,8,
Italy,308,59,249,,,,4,,,10,,3,,,,,,12,,,,,,,,,,,,,8,8,,,1,,4,,4,1,,,,,,4
