Contestants,Total score,Jury score,Televoting score,Portugal,Azerbaijan,Malta,North Macedonia,San Marino,Netherlands,Montenegro,Estonia,Poland,Norway,Spain,Austria,United Kingdom,Italy,Albania,Hungary,Moldova,Ireland,Belarus,Armenia,Romania,Cyprus,Australia,Russia,Germany,Belgium,Sweden,Croatia,Lithuania,Serbia,Iceland,Georgia,Greece,Latvia,Czech Republic,Denmark,France,Finland,Switzerland,Slovenia,Israel
Malta,107,87,20,,10,,5,,8,6,,4,,,,,8,,,1,,12,4,,3,,6,3,,2,,,,,,5,1,3,,,1,,1,4
Albania,90,43,47,,7,2,8,7,,8,,,,,,,1,,,,,,,2,2,,3,,,,,,,,,3,,,,,,,,
Czech Republic,157,150,7,10,,,,,4,1,8,,12,6,3,1,4,,12,8,,,3,8,,5,,,5,1,7,7,4,6,12,,3,,,3,4,,12,1
Germany,24,24,0,,,,,,,,,,,,,,,,,,2,,,,,3,,,,,,5,,,,,,,8,,,6,,
Russia,370,126,244,,12,10,6,10,5,10,6,,,2,,4,,1,,5,3,1,5,6,10,4,,,,3,2,1,,,,10,4,,3,,,3,,
Denmark,120,69,51,,,,,,7,3,2,5,4,,,3,12,,6,4,,,,,,,,1,1,,,,2,,7,,7,,,1,,,4,
San Marino,77,12,65,,,1,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,6,,,,,,,,
North Macedonia,305,247,58,5,8,3,,1,3,7,,8,10,,12,12,10,12,10,12,5,10,10,7,,7,4,7,,,10,,12,8,,1,8,7,10,7,7,12,2,
Sweden,334,241,93,2,,5,,,12,,12,,8,12,6,10,2,6,4,2,12,2,12,1,7,12,,2,,,5,8,8,12,2,,10,12,12,10,12,8,7,6
Slovenia,105,46,59,3,4,,,,,,,10,,1,,,,,,,,,,,,,,,,,,4,,,4,4,,10,,,6,,,
Cyprus,109,77,32,,3,6,1,5,1,5,,,1,5,,,,7,,,,8,,,,,8,,2,7,,,,,6,12,,,,,,,,
Netherlands,498,237,261,12,,7,7,3,,,7,,7,8,8,6,,,1,3,8,6,6,5,5,6,,8,6,12,6,12,,7,8,,12,6,7,12,8,10,6,12
Greece,74,50,24,,6,4,,8,,,,,,,,,,4,,,,3,,,12,,10,,3,,,,,,,,,,,,,,,
Israel,35,0,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,331,40,291,4,,,,,,,,1,,,1,,,,,7,6,,,,,,,5,,4,,,,,,,,,5,,,7,,
United Kingdom,11,8,3,,,,,,,,,,2,,,,,,2,,,,2,,,,,,,,,,,,1,,,,,,,1,,
Iceland,232,46,186,,,,2,6,,,,3,,,,,,,,,,,,,,8,2,,10,,,6,,,,,,4,,5,,,,
Estonia,76,28,48,,,,,,,,,,,,,,5,,,,,,,,,,,,,,1,,6,,,,5,1,2,,,,,8
Belarus,31,18,13,,1,,,,,,1,,,,,,,,8,,,,1,,,,7,,,,,,,,,,,,,,,,,
Azerbaijan,302,202,100,8,,8,4,4,,,5,2,5,7,4,7,7,8,5,6,7,5,,10,6,2,12,,,5,,10,3,4,10,8,6,5,4,6,2,,10,7
France,105,67,38,,,,,,,,3,6,,,5,2,3,3,,,,,,,4,10,,4,8,,3,,1,1,5,,,2,,,,2,3,2
Italy,472,219,253,6,5,12,12,12,6,2,,,3,4,7,,,5,7,,1,7,8,,8,,,12,12,8,12,3,10,3,,7,2,8,1,8,5,5,8,10
Serbia,89,35,54,,,,,,,12,4,7,,,2,,,,,,,,,3,,1,,,,,4,,,2,,,,,,,,,,
Switzerland,364,152,212,1,,,3,2,10,,10,,6,3,10,5,,10,3,,10,4,7,4,1,,,6,7,10,8,,5,5,3,,,,6,2,3,,5,3
Australia,284,153,131,7,2,,10,,2,4,,12,,10,,8,6,2,,10,4,,,12,,,,10,4,6,,2,7,10,,2,,,,4,10,4,,5
Spain,54,1,53,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
