Contestants,Total score,Jury score,Televoting score,Israel,Poland,San Marino,Albania,Malta,Estonia,North Macedonia,Azerbaijan,Norway,Spain,Austria,United Kingdom,Italy,Slovenia,Greece,Latvia,Ireland,Moldova,Serbia,Bulgaria,Cyprus,Belgium,Germany,Australia,Finland,Portugal,Ukraine,Iceland,Romania,Croatia,Czech Republic,Georgia,Lithuania,Denmark,Russia,France,Sweden,Switzerland,Netherlands
Cyprus,94,50,44,3,,,7,4,,2,,,6,,,,,12,,,1,,,,,7,4,,,,,,,,,,,2,2,,,
Albania,57,22,35,,,2,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,1
Israel,93,73,20,,6,,,,,8,,8,3,,6,4,1,,,,,2,3,,,,,,,7,,,5,,,1,1,5,5,4,,4
Belgium,74,71,3,6,3,,,,,,3,,,,1,5,6,3,,3,,,,4,,,,,5,6,,,,3,,7,,3,6,1,,6
Russia,204,104,100,7,1,,,,,1,12,,,,,,8,2,1,,10,,,6,7,2,1,4,10,,2,,4,2,,,,,10,3,3,8
Malta,255,208,47,5,4,7,8,,1,5,7,12,8,4,,7,5,6,2,10,7,,5,10,5,8,12,1,4,5,1,12,3,7,1,3,4,4,,12,6,7
Portugal,153,126,27,,8,,,7,5,,2,,5,7,7,6,,,,,2,5,6,1,1,,,,,2,10,10,1,12,8,6,,,8,,7,
Serbia,102,20,82,,,,1,,,12,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,
United Kingdom,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,170,91,79,,,8,6,6,,,10,1,1,,,,3,,,,8,3,8,12,,,,2,,,4,,,,,,,7,12,,,
Switzerland,432,267,165,12,7,4,12,10,12,6,,7,10,10,8,,7,,12,5,3,1,,2,12,10,10,12,7,8,12,7,8,5,10,8,12,1,7,5,,5
Iceland,378,198,180,,10,,,,8,4,,2,7,12,10,8,10,,10,8,5,7,,,3,3,8,8,8,4,,,10,8,6,4,10,,3,7,5,10
Spain,6,6,0,,,,,,,,,,,,2,,,,,,,,4,,,,,,,,,,,,,,,,,,,
Moldova,115,53,62,,,5,,,,,8,,,,,,,10,,,,,12,,,,,,,,,6,,,,,,12,,,,
Germany,3,3,0,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Finland,301,83,218,,2,1,3,2,7,,,,,1,4,10,4,,4,,,10,1,3,8,,,,,,5,8,,1,,,8,,,,1,
Bulgaria,170,140,30,1,,3,,,6,,1,6,4,5,5,,,8,5,1,12,6,,5,6,,2,10,12,,8,2,,4,4,2,6,6,,,10,
Lithuania,220,55,165,10,,6,,,2,,,,2,,,12,,,6,4,,,,,,1,,3,,,,,2,,3,,,,,,4,
Ukraine,364,97,267,4,,,,5,4,,6,3,,,,1,,1,7,6,,,,,10,5,5,,2,,3,5,,,7,12,,,,8,,3
France,499,248,251,8,,12,10,3,10,7,4,4,12,8,12,3,2,5,3,12,4,12,7,7,,12,7,7,6,10,6,4,6,10,,5,,,,6,12,12
Azerbaijan,65,32,33,2,,,2,,,,,,,,,,,,,2,6,,,,,,,,,3,,,,,5,,,8,,,2,2
Norway,75,15,60,,,,,,,,,,,,,2,,,,7,,,,,,,,,,1,,,,,,,3,,,2,,
Netherlands,11,11,0,,,,,,,,,,,3,,,,,,,,,2,,,,3,,1,,,,,,2,,,,,,,
Italy,524,206,318,,5,10,4,,3,10,,5,,6,,,12,4,8,,,8,10,8,2,6,6,6,3,12,7,3,12,6,12,10,,10,,10,8,
Sweden,109,46,63,,,,,8,,3,5,10,,,,,,,,,,4,,,4,4,,5,,,,,,,,,2,,1,,,
San Marino,50,37,13,,12,,5,1,,,,,,,3,,,7,,,,,,,,,,,,,,,,,,,5,,4,,,
