Contestants,Total score,Jury score,Televoting score,Sweden,Azerbaijan,San Marino,Latvia,Israel,Montenegro,Albania,Malta,Macedonia,Denmark,Austria,Norway,Spain,Finland,France,Greece,Lithuania,Estonia,Moldova,Armenia,Bulgaria,Iceland,Serbia,Australia,Italy,Germany,Portugal,Switzerland,Netherlands,Ireland,Georgia,Cyprus,Belarus,Romania,Hungary,Slovenia,Belgium,Poland,United Kingdom,Croatia,Czech Republic,Ukraine
Israel,39,34,5,,1,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,64,23,41,5,,,,,,,,,,2,3,,,1,,,,,,,3,,,3,2,,,1,7,,,,,,,4,,10,,,
Belarus,83,50,33,,,,6,2,,,,,,,,,,,,1,2,1,,,,,,,,,,,,6,,,,,,,4,,,3,8
Austria,93,93,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,79,58,21,,,,,,,,,,,,,,,6,2,,,,,,,,,,,,,,,10,1,,,,,,,,,2,
Netherlands,150,135,15,,,,,,,,,,1,,,2,,,,,,,,,,,,,1,,,,,,,,,,,10,,,1,,
Moldova,374,110,264,8,10,8,8,5,3,,1,2,8,3,6,6,5,7,6,8,4,,6,10,6,7,12,12,7,12,,5,8,,6,10,12,10,3,7,6,6,4,5,12
Hungary,200,48,152,4,7,4,2,1,7,6,2,3,3,5,4,,4,2,,2,8,,,6,2,12,,4,3,2,5,6,2,,,8,10,,5,1,5,1,12,,4
Italy,334,126,208,1,6,10,3,8,10,12,12,8,,6,2,8,8,5,7,5,5,4,4,,7,6,2,,4,4,10,2,1,5,8,,6,4,10,5,,2,7,1,
Denmark,77,69,8,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,
Portugal,758,382,376,10,8,7,10,12,8,8,8,7,5,12,12,12,12,12,8,12,10,6,10,7,12,8,7,5,12,,12,12,10,8,7,7,7,7,8,12,10,8,10,8,10
Azerbaijan,120,78,42,,,1,,,5,,,,,,,,,,,,,10,,,,,,,,,,,,12,,,,,4,,,,,10,
Croatia,128,25,103,2,,3,,,12,7,3,10,,4,1,,,,,,,,,1,,5,1,6,8,,8,3,3,,,,3,5,12,,1,5,,,
Australia,173,171,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,77,48,29,,,,,,,3,,,,,,,,,,,,7,1,5,,,,,,,,,,,12,,1,,,,,,,,
Spain,5,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,
Norway,158,129,29,6,,,1,,,,,,7,,,,2,,,6,,,,,1,,,,,,,,,,,5,,,,,,,,,1
United Kingdom,111,99,12,,,,,,,,4,,,,,1,,,,,,,,,,,3,,,,,,4,,,,,,,,,,,,
Cyprus,68,36,32,,,,,,1,,,,,,,,,,12,,,,12,3,,,,,,,,,,2,,,,2,,,,,,,
Romania,282,58,224,3,2,6,5,7,,4,6,,4,10,10,7,3,10,1,4,6,12,2,8,5,4,10,10,6,7,4,7,12,,4,2,,6,2,6,7,7,6,6,3
Germany,6,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
Ukraine,36,12,24,,,,,,,,,,,,,,,,,,,,,,,,,7,,3,,,,4,,1,,,,,2,,,7,
Belgium,363,108,255,12,4,5,12,6,4,5,5,4,6,8,7,4,10,8,5,10,12,2,5,4,10,3,4,2,10,10,7,10,5,,2,6,5,8,6,,12,3,5,4,5
Sweden,344,218,126,,3,2,4,3,,2,7,5,12,1,5,5,6,,3,3,3,3,3,2,8,1,6,,,1,1,4,,1,5,3,2,3,1,2,3,4,2,,7
Bulgaria,615,278,337,7,12,12,7,10,6,10,10,12,10,7,8,10,7,4,10,7,7,8,7,,4,10,5,8,5,8,6,8,6,7,10,12,8,12,7,8,8,12,8,12,2
France,135,45,90,,5,,,4,2,1,,6,,,,3,1,,4,,1,5,8,12,,2,,1,,6,2,,,3,3,4,4,1,,3,,,3,,6
