Contestants,Total score,Jury score,Televoting score,Ukraine,Azerbaijan,Belarus,San Marino,Netherlands,Macedonia,Malta,Georgia,Spain,Austria,Denmark,United Kingdom,Sweden,Latvia,Albania,Croatia,Ireland,Romania,Czech Republic,Iceland,Moldova,Belgium,Norway,France,Italy,Australia,Estonia,Serbia,Cyprus,Armenia,Bulgaria,Greece,Hungary,Montenegro,Germany,Finland,Russia,Switzerland,Israel,Poland,Lithuania,Slovenia,Portugal
Ukraine,130,11,119,,8,12,5,,4,,8,,,,,,3,,,,,12,,10,,,4,8,,,,2,4,1,,,7,,,8,,7,12,,,4
Spain,61,43,18,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,1,,,,,12
Slovenia,64,41,23,,,,,,2,,,,,,,,,,7,,,,,,,,,,,,8,,,,,,6,,,,,,,,,
Lithuania,181,90,91,2,,,,,,5,7,,,,12,7,12,,,12,,,,,,12,,,,12,,6,,,,,,4,,,,,,,,
Austria,342,271,71,,,,,3,,,1,,,10,,2,,2,,,,,5,,3,8,,,,6,,,6,4,,3,,5,3,,4,1,,3,2,
Estonia,245,143,102,3,,,,,,,6,2,,,,,10,4,,4,,5,,1,,,7,6,,,,4,2,2,4,,,,12,3,,8,,12,,7
Norway,144,60,84,,7,10,,1,,,,3,,8,,8,2,,,,,,4,5,,,,,1,2,3,5,7,,3,5,,,,5,,,,,5,
Portugal,39,21,18,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,10,,,,,
United Kingdom,48,23,25,,,,1,,,1,,,,3,,,,3,,10,,,,,,,,,6,,,,,,,,,1,,,,,,,,
Serbia,113,38,75,,,,,,10,,,,8,,,,,,12,,,,,,,,1,1,,,,,,7,,,12,,,,12,,,,12,
Germany,340,204,136,,3,,4,12,,4,,6,6,12,3,5,,8,3,8,4,3,8,4,2,6,,3,2,,,3,,,2,1,,,,,6,3,1,2,4,8
Albania,184,126,58,,,,,,12,,,,2,,,,,,4,,,,,,,,,12,,,,,,,10,,10,,,,7,,,,1,
France,173,114,59,7,,,,,,,4,4,,,,,,5,,,,,6,,8,1,,,,,,1,5,,,,,,4,,,6,3,5,,
Czech Republic,281,66,215,10,6,5,10,6,5,3,,10,12,6,5,3,4,,5,7,3,,10,6,1,4,,,3,5,5,8,8,3,7,8,,8,5,2,,12,4,8,8,
Denmark,226,38,188,8,,7,6,8,,2,2,,5,,2,12,5,,2,2,2,7,12,,5,10,2,4,10,8,4,,,,,12,,3,10,7,2,4,6,10,7,2
Australia,99,90,9,,,,,,,6,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,46,23,23,,,,,,,,,,,,,6,,,,,,,3,,,,,,4,10,,,,,,,,,,,,,,,,
Bulgaria,166,100,66,,1,1,,,7,7,,5,,,6,,,6,1,,5,1,,3,,,,,,,2,12,,,5,,4,,,,,,,,,
Moldova,209,94,115,6,4,6,2,,1,,3,,,,4,,7,,,1,12,6,,,,,6,10,5,1,1,,1,8,1,2,,,,12,,10,,,,6
Sweden,274,253,21,,2,,,,,,,,,7,,,,,,,,,2,,,3,,,,,,,,,,,2,,,1,,,,4,,
Hungary,93,28,65,1,,2,,2,,,,,3,,,,,,,,10,,,2,,,,2,,3,12,,,5,,,3,2,8,,,,7,,3,
Israel,529,212,317,12,12,8,12,10,3,8,12,12,7,,7,10,8,1,6,6,8,10,7,12,10,7,12,7,12,,7,10,10,10,6,10,1,10,7,10,5,,10,1,,1
Netherlands,121,89,32,,,,,,,,,,,5,,1,,,,3,,,,,12,5,,,,,,,,,,4,,,2,,,,,,,
Ireland,136,74,62,,,,3,4,,,,1,4,4,10,,,7,,,1,4,,,4,,,,8,,,,,,,,,7,,,,,2,,,3
Cyprus,436,183,253,4,10,3,7,5,8,10,10,8,1,1,8,4,1,10,8,5,7,8,1,7,7,2,3,5,7,4,10,,12,12,12,7,5,6,1,4,3,2,8,6,6,5
Italy,308,59,249,5,5,4,8,7,6,12,5,7,10,,,,6,12,10,,6,2,,8,6,,10,,,7,6,7,3,6,8,6,8,12,6,6,8,5,5,7,10,10
