Contestants,Total score,Jury score,Televoting score,Portugal,Azerbaijan,Malta,North Macedonia,San Marino,Netherlands,Montenegro,Estonia,Poland,Norway,Spain,Austria,United Kingdom,Italy,Albania,Hungary,Moldova,Ireland,Belarus,Armenia,Romania,Cyprus,Australia,Russia,Germany,Belgium,Sweden,Croatia,Lithuania,Serbia,Iceland,Georgia,Greece,Latvia,Czech Republic,Denmark,France,Finland,Switzerland,Slovenia,Israel
Malta,107,87,20,,4,,6,,,,,,,,,,,,,,,,6,,,4,,,,,,,,,,,,,,,,,,
Albania,90,43,47,,,,12,,,7,,,,,,,12,,,,,,,,,,,,,,1,,,,,5,,,,,,10,,
Czech Republic,157,150,7,,,,,,,,,1,,,,,,,,2,,,,,,2,,,,,,,,2,,,,,,,,,,
Germany,24,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russia,370,126,244,10,12,4,,12,,10,12,3,1,2,5,,8,12,7,12,5,12,12,7,10,,,8,1,,,12,8,,8,8,12,12,,3,4,,,12
Denmark,120,69,51,1,,,,,5,,6,,5,,,6,4,,,,,,,,,,,4,,7,,,,4,,,,,,4,,1,3,1
San Marino,77,12,65,,10,,8,,,8,,,,,,,,10,6,8,,1,,,,,,,,,2,,1,1,10,,,,,,,,,
North Macedonia,305,247,58,,3,5,,,1,6,,,,,,,,6,,,,,,,,,,,,2,7,,12,,2,,,,,,,2,12,
Sweden,334,241,93,,,6,,,8,,3,,12,6,,5,,,,,2,,2,,,8,,1,2,,,3,,8,6,,,,10,,7,4,,
Slovenia,105,46,59,,,,2,,,4,7,4,,,2,,,,3,,,5,,,,,6,3,,,10,,10,,,,2,,,,1,,,
Cyprus,109,77,32,,,,,7,,,,,,,,1,,,,,,,,,,,,,,,,,,,12,12,,,,,,,,
Netherlands,498,237,261,8,7,10,7,6,,1,8,10,8,8,7,4,5,7,8,6,8,10,10,12,6,6,5,7,12,6,4,7,3,5,5,6,5,4,7,5,5,6,5,2
Greece,74,50,24,,,,,10,,,,,,,,,,2,,,,,,,12,,,,,,,,,,,,,,,,,,,
Israel,35,0,35,,,,,1,,,,,,,,,,,,7,,,,3,5,,,,,,,,,,4,,,3,,12,,,,
Norway,331,40,291,6,1,7,5,3,12,,10,8,,7,8,12,10,5,10,3,12,8,5,4,1,12,10,12,7,12,5,8,4,12,,,8,10,12,8,10,8,6,10
United Kingdom,11,8,3,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
Iceland,232,46,186,3,,1,,2,7,2,5,12,10,3,6,8,7,,12,1,6,7,3,5,,10,7,2,3,8,3,6,5,,3,2,7,6,4,1,12,,7,
Estonia,76,28,48,,,,,,,,,,2,,,,,,,,1,,,,,,,,,10,,4,,3,,,10,1,8,,8,,1,
Belarus,31,18,13,,5,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,
Azerbaijan,302,202,100,,,2,1,4,4,3,1,2,3,1,1,3,1,3,2,10,,6,,6,,1,12,,,3,,5,,,7,,4,7,5,,,,,3
France,105,67,38,2,,,,,,,,,,4,,,2,,1,,,,4,1,3,3,,,10,,,,,,,1,,,,,,3,,4
Italy,472,219,253,7,6,12,3,8,10,5,,7,7,12,10,,,8,4,5,4,3,7,8,8,5,1,6,8,4,12,10,7,6,1,10,3,2,3,10,3,12,8,8
Serbia,89,35,54,,,,10,,,12,,,,,4,,,,,,,,,,,,3,,,,8,,,,,,,,,,,7,10,
Switzerland,364,152,212,5,8,8,4,5,6,,4,5,6,10,12,7,3,4,5,4,7,4,8,10,7,7,2,10,5,1,6,2,6,7,,7,1,5,6,2,2,,4,7
Australia,284,153,131,4,,3,,,2,,2,6,4,5,3,10,6,1,,,10,2,1,2,2,,4,5,4,5,,1,,10,,3,6,8,2,6,6,,2,6
Spain,54,1,53,12,2,,,,3,,,,,,,2,,,,,,,,,4,,,,6,,,,2,,,4,,,1,7,,5,,5
