Country,Artist,Song,Language,Points,Place,Order,Year
Italy,Domenico Modugno,"""Nel blu, dipinto di blu""",Italian,13,3,1,1958
Netherlands,Corry Brokken,"""Heel de wereld""",Dutch,1,9,2,1958
France,André Claveau,"""Dors, mon amour""",French,27,1,3,1958
Luxembourg,Solange Berry,"""Un grand amour""",French,1,9,4,1958
Sweden,Alice Babs,"""Lilla stjärna""",Swedish,10,4,5,1958
Denmark,Raquel Rastenni,"""Jeg rev et blad ud af min dagbog""",Danish,3,8,6,1958
Belgium,Fud Leclerc,"""Ma petite chatte""",French,8,5,7,1958
Germany,Margot Hielscher,"""Für zwei Groschen Musik""",German,5,7,8,1958
Austria,Liane Augustin,"""Die ganze Welt braucht Liebe""",German,8,5,9,1958
Switzerland,Lys Assia,"""Giorgio""","German, Italian",24,2,10,1958
