Country,Artist,Song,Language[8][9],Points,Place[10],Order,Year
Ireland,The Swarbriggs Plus Two,"""It's Nice to Be in Love Again""",English,119,3,1,1977
Monaco,Michèle Torr,"""Une petite française""",French,96,4,2,1977
Netherlands,Heddy Lester,"""De mallemolen""",Dutch,35,12,3,1977
Austria,Schmetterlinge,"""Boom Boom Boomerang""",German[a],11,17,4,1977
Norway,Anita Skorgan,"""Casanova""",Norwegian,18,14,5,1977
Germany,Silver Convention,"""Telegram""",English,55,8,6,1977
Luxembourg,Anne-Marie B,"""Frère Jacques""",French,17,16,7,1977
Portugal,Os Amigos,"""Portugal no coração""",Portuguese,18,14,8,1977
United Kingdom,Lynsey de Paul and Mike Moran,"""Rock Bottom""",English,121,2,9,1977
Greece,"Pascalis, Marianna, Robert and Bessy","""Mathima solfege"" (Μάθημα σολφέζ)",Greek,92,5,10,1977
Israel,Ilanit,"""Ahava Hi Shir Lishnayim"" (אהבה היא שיר לשניים)",Hebrew,49,11,11,1977
Switzerland,Pepe Lienhard Band,"""Swiss Lady""",German,71,6,12,1977
Sweden,Forbes,"""Beatles""",Swedish,2,18,13,1977
Spain,Micky,"""Enséñame a cantar""",Spanish,52,9,14,1977
Italy,Mia Martini,"""Libera""",Italian,33,13,15,1977
Finland,Monica Aspelund,"""Lapponia""",Finnish,50,10,16,1977
Belgium,Dream Express,"""A Million in One, Two, Three""",English,69,7,17,1977
France,Marie Myriam,"""L'Oiseau et l'Enfant""",French,136,1,18,1977
