Country,Artist,Song,Language[27],Points,Place[29],Order,Year
Switzerland,six4one,"""If We All Give a Little""",English,30,16,1,2006
Moldova,Arsenium feat. Natalia Gordienko and Connect-R,"""Loca""",English[b],22,20,2,2006
Israel,Eddie Butler,"""Together We Are One""","Hebrew, English",4,23,3,2006
Latvia,Vocal Group Cosmos,"""I Hear Your Heart""",English,30,16,4,2006
Norway,Christine Guldbrandsen,"""Alvedansen""",Norwegian,36,14,5,2006
Spain,Las Ketchup,"""Bloody Mary""",Spanish,18,21,6,2006
Malta,Fabrizio Faniello,"""I Do""",English,1,24,7,2006
Germany,Texas Lightning,"""No No Never""",English,36,14,8,2006
Denmark,Sidsel Ben Semmane,"""Twist of Love""",English,26,18,9,2006
Russia,Dima Bilan,"""Never Let You Go""",English,248,2,10,2006
Macedonia,Elena Risteska,"""Ninanajna"" (Нинанајна)","English, Macedonian",56,12,11,2006
Romania,Mihai Trăistariu,"""Tornerò""","English, Italian",172,4,12,2006
Bosnia and Herzegovina,Hari Mata Hari,"""Lejla""",Bosnian,229,3,13,2006
Lithuania,LT United,"""We Are the Winners""",English[d],162,6,14,2006
United Kingdom,Daz Sampson,"""Teenage Life""",English,25,19,15,2006
Greece,Anna Vissi,"""Everything""",English,128,9,16,2006
Finland,Lordi,"""Hard Rock Hallelujah""",English,292,1,17,2006
Ukraine,Tina Karol,"""Show Me Your Love""",English,145,7,18,2006
France,Virginie Pouchain,"""Il était temps""",French,5,22,19,2006
Croatia,Severina,"""Moja štikla""",Croatian,56,12,20,2006
Ireland,Brian Kennedy,"""Every Song Is a Cry for Love""",English,93,10,21,2006
Sweden,Carola,"""Invincible""",English,170,5,22,2006
Turkey,Sibel Tüzün,"""Süper Star""","Turkish, English[c]",91,11,23,2006
Armenia,André,"""Without Your Love""",English,129,8,24,2006
