Country[22],Artist,Song,Language[48],Points,Place[52],Order,Year
Finland,Paradise Oskar,"""Da Da Dam""",English,57,21,1,2011
Bosnia and Herzegovina,Dino Merlin,"""Love in Rewind""",English[c],125,6,2,2011
Denmark,A Friend in London,"""New Tomorrow""",English,134,5,3,2011
Lithuania,Evelina Sašenko,"""C'est ma vie""",English[b],63,19,4,2011
Hungary,Kati Wolf,"""What About My Dreams?""","English, Hungarian",53,22,5,2011
Ireland,Jedward,"""Lipstick""",English,119,8,6,2011
Sweden,Eric Saade,"""Popular""",English,185,3,7,2011
Estonia,Getter Jaani,"""Rockefeller Street""",English,44,24,8,2011
Greece,Loukas Yorkas feat. Stereo Mike,"""Watch My Dance""","English, Greek",120,7,9,2011
Russia,Alexey Vorobyov,"""Get You""","English, Russian",77,16,10,2011
France,Amaury Vassili,"""Sognu""",Corsican,82,15,11,2011
Italy,Raphael Gualazzi,"""Madness of Love""","Italian, English",189,2,12,2011
Switzerland,Anna Rossinelli,"""In Love for a While""",English,19,25,13,2011
United Kingdom,Blue,"""I Can""",English,100,11,14,2011
Moldova,Zdob și Zdub,"""So Lucky""",English,97,12,15,2011
Germany,Lena,"""Taken by a Stranger""",English,107,10,16,2011
Romania,Hotel FM,"""Change""",English,77,17,17,2011
Austria,Nadine Beiler,"""The Secret Is Love""",English,64,18,18,2011
Azerbaijan,Ell and Nikki,"""Running Scared""",English,221,1,19,2011
Slovenia,Maja Keuc,"""No One""",English,96,13,20,2011
Iceland,Sjonni's Friends,"""Coming Home""",English,61,20,21,2011
Spain,Lucía Pérez,"""Que me quiten lo bailao""",Spanish,50,23,22,2011
Ukraine,Mika Newton,"""Angel""",English,159,4,23,2011
Serbia,Nina,"""Čaroban"" (Чаробан)",Serbian,85,14,24,2011
Georgia,Eldrine,"""One More Day""",English,110,9,25,2011
