Country[53],Artist[54],Song[54],Language[55],Points,Place[60],Order,Year
France,Amandine Bourgeois,"""L'Enfer et moi""",French,14,23,1,2013
Lithuania,Andrius Pojavis,"""Something""",English,17,22,2,2013
Moldova,Aliona Moon,"""O mie""",Romanian,71,11,3,2013
Finland,Krista Siegfrids,"""Marry Me""",English,13,24,4,2013
Spain,ESDM,"""Contigo hasta el final""",Spanish[c],8,25,5,2013
Belgium,Roberto Bellarosa,"""Love Kills""",English,71,12,6,2013
Estonia,Birgit,"""Et uus saaks alguse""",Estonian,19,20,7,2013
Belarus,Alyona Lanskaya,"""Solayoh""",English,48,16,8,2013
Malta,Gianluca,"""Tomorrow""",English,120,8,9,2013
Russia,Dina Garipova,"""What If""",English,174,5,10,2013
Germany,Cascada,"""Glorious""",English,18,21,11,2013
Armenia,Dorians,"""Lonely Planet""",English,41,18,12,2013
Netherlands,Anouk,"""Birds""",English,114,9,13,2013
Romania,Cezar,"""It's My Life""",English,65,13,14,2013
United Kingdom,Bonnie Tyler,"""Believe in Me""",English,23,19,15,2013
Sweden,Robin Stjernberg,"""You""",English,62,14,16,2013
Hungary,ByeAlex,"""Kedvesem"" (Zoohacker Remix)",Hungarian,84,10,17,2013
Denmark,Emmelie de Forest,"""Only Teardrops""",English,281,1,18,2013
Iceland,Eythor Ingi,"""Ég á líf""",Icelandic,47,17,19,2013
Azerbaijan,Farid Mammadov,"""Hold Me""",English,234,2,20,2013
Greece,Koza Mostra feat. Agathon Iakovidis,"""Alcohol Is Free""",Greek[b],152,6,21,2013
Ukraine,Zlata Ognevich,"""Gravity""",English,214,3,22,2013
Italy,Marco Mengoni,"""L'essenziale""",Italian,126,7,23,2013
Norway,Margaret Berger,"""I Feed You My Love""",English,191,4,24,2013
Georgia,Nodi Tatishvili and Sophie Gelovani,"""Waterfall""",English,50,15,25,2013
Ireland,Ryan Dolan,"""Only Love Survives""",English,5,26,26,2013
