Country[36],Artist,Song,Language,Points,Place[62],Order,Year
Ukraine,Mariya Yaremchuk,"""Tick-Tock""",English,113,6,1,2014
Belarus,Teo,"""Cheesecake""",English,43,16,2,2014
Azerbaijan,Dilara Kazimova,"""Start a Fire""",English,33,22,3,2014
Iceland,Pollapönk,"""No Prejudice""",English,58,15,4,2014
Norway,Carl Espen,"""Silent Storm""",English,88,8,5,2014
Romania,Paula Seling and Ovi,"""Miracle""",English,72,12,6,2014
Armenia,Aram Mp3,"""Not Alone""",English,174,4,7,2014
Montenegro,Sergej Ćetković,"""Moj svijet"" (Мој свијет)",Montenegrin,37,19,8,2014
Poland,Donatan and Cleo,"""My Słowianie – We Are Slavic""","Polish, English",62,14,9,2014
Greece,Freaky Fortune feat. RiskyKidd,"""Rise Up""",English,35,20,10,2014
Austria,Conchita Wurst,"""Rise Like a Phoenix""",English,290,1,11,2014
Germany,Elaiza,"""Is It Right""",English,39,18,12,2014
Sweden,Sanna Nielsen,"""Undo""",English,218,3,13,2014
France,Twin Twin,"""Moustache""",French[b],2,26,14,2014
Russia,Tolmachevy Sisters,"""Shine""",English,89,7,15,2014
Italy,Emma,"""La mia città""",Italian[c],33,21,16,2014
Slovenia,Tinkara Kovač,"""Round and Round""","English, Slovene",9,25,17,2014
Finland,Softengine,"""Something Better""",English,72,11,18,2014
Spain,Ruth Lorenzo,"""Dancing in the Rain""","English, Spanish",74,10,19,2014
Switzerland,Sebalter,"""Hunter of Stars""",English,64,13,20,2014
Hungary,András Kállay-Saunders,"""Running""",English,143,5,21,2014
Malta,Firelight,"""Coming Home""",English,32,23,22,2014
Denmark,Basim,"""Cliche Love Song""",English,74,9,23,2014
Netherlands,The Common Linnets,"""Calm After the Storm""",English,238,2,24,2014
San Marino,Valentina Monetta,"""Maybe""",English,14,24,25,2014
United Kingdom,Molly,"""Children of the Universe""",English,40,17,26,2014
