Country,Artist,Song,Language,Points,Place[66],Order,Year
Ukraine,Mélovin,"""Under the Ladder""",English,130,17,1,2018
Spain,Amaia and Alfred,"""Tu canción""",Spanish,61,23,2,2018
Slovenia,Lea Sirk,"""Hvala, ne!""",Slovene[g],64,22,3,2018
Lithuania,Ieva Zasimauskaitė,"""When We're Old""",English[a],181,12,4,2018
Austria,Cesár Sampson,"""Nobody but You""",English,342,3,5,2018
Estonia,Elina Nechayeva,"""La forza""",Italian,245,8,6,2018
Norway,Alexander Rybak,"""That's How You Write a Song""",English,144,15,7,2018
Portugal,Cláudia Pascoal,"""O jardim""",Portuguese,39,26,8,2018
United Kingdom,SuRie,"""Storm""",English,48,24,9,2018
Serbia,Sanja Ilić and Balkanika,"""Nova deca"" (Нова деца)",Serbian[d],113,19,10,2018
Germany,Michael Schulte,"""You Let Me Walk Alone""",English,340,4,11,2018
Albania,Eugent Bushpepa,"""Mall""",Albanian,184,11,12,2018
France,Madame Monsieur,"""Mercy""",French,173,13,13,2018
Czech Republic,Mikolas Josef,"""Lie to Me""",English,281,6,14,2018
Denmark,Rasmussen,"""Higher Ground""",English[e],226,9,15,2018
Australia,Jessica Mauboy,"""We Got Love""",English,99,20,16,2018
Finland,Saara Aalto,"""Monsters""",English,46,25,17,2018
Bulgaria,Equinox,"""Bones""",English,166,14,18,2018
Moldova,DoReDoS,"""My Lucky Day""",English,209,10,19,2018
Sweden,Benjamin Ingrosso,"""Dance You Off""",English,274,7,20,2018
Hungary,AWS,"""Viszlát nyár""",Hungarian,93,21,21,2018
Israel,Netta,"""Toy""",English[b],529,1,22,2018
Netherlands,Waylon,"""Outlaw in 'Em""",English,121,18,23,2018
Ireland,Ryan O'Shaughnessy,"""Together""",English,136,16,24,2018
Cyprus,Eleni Foureira,"""Fuego""",English[c],436,2,25,2018
Italy,Ermal Meta and Fabrizio Moro,"""Non mi avete fatto niente""",Italian,308,5,26,2018
