Country[67],Artist[67],Song[67],Language,Points,Place[68],Order,Year
Malta,Michela,"""Chameleon""",English,107,14,1,2019
Albania,Jonida Maliqi,"""Ktheju tokës""",Albanian,90,17,2,2019
Czech Republic,Lake Malawi,"""Friend of a Friend""",English,157,11,3,2019
Germany,S!sters,"""Sister""",English,24,25,4,2019
Russia,Sergey Lazarev,"""Scream""",English,370,3,5,2019
Denmark,Leonora,"""Love Is Forever""","English, French[g]",120,12,6,2019
San Marino,Serhat,"""Say Na Na Na""",English[f],77,19,7,2019
North Macedonia,Tamara Todevska,"""Proud""",English,305,7,8,2019
Sweden,John Lundvik,"""Too Late for Love""",English,334,5,9,2019
Slovenia,Zala Kralj and Gašper Šantl,"""Sebi""",Slovene,105,15,10,2019
Cyprus,Tamta,"""Replay""",English,109,13,11,2019
Netherlands,Duncan Laurence,"""Arcade""",English,498,1,12,2019
Greece,Katerine Duska,"""Better Love""",English,74,21,13,2019
Israel,Kobi Marimi,"""Home""",English,35,23,14,2019
Norway,Keiino,"""Spirit in the Sky""","English, Northern Sámi",331,6,15,2019
United Kingdom,Michael Rice,"""Bigger than Us""",English,11,26,16,2019
Iceland,Hatari,"""Hatrið mun sigra""",Icelandic,232,10,17,2019
Estonia,Victor Crone,"""Storm""",English,76,20,18,2019
Belarus,Zena,"""Like It""",English,31,24,19,2019
Azerbaijan,Chingiz,"""Truth""",English,302,8,20,2019
France,Bilal Hassani,"""Roi""","French, English",105,16,21,2019
Italy,Mahmood,"""Soldi""",Italian[h],472,2,22,2019
Serbia,Nevena Božović,"""Kruna"" (Круна)",Serbian[d],89,18,23,2019
Switzerland,Luca Hänni,"""She Got Me""",English,364,4,24,2019
Australia,Kate Miller-Heidke,"""Zero Gravity""",English,284,9,25,2019
Spain,Miki,"""La venda""",Spanish,54,22,26,2019
