Country[72],Artist[151],Song[151],Language(s),Points[151],Place[151],Order,Year
Czech Republic,We Are Domi,"""Lights Off""",English,38,22[g],1,2022
Romania,WRS,"""Llámame""","English, Spanish",65,18,2,2022
Portugal,Maro,"""Saudade, saudade""","English, Portuguese",207,9,3,2022
Finland,The Rasmus,"""Jezebel""",English,38,21[g],4,2022
Switzerland,Marius Bear,"""Boys Do Cry""",English,78,17,5,2022
France,Alvan and Ahez,"""Fulenn""",Breton,17,24,6,2022
Norway,Subwoolfer,"""Give That Wolf a Banana""",English,182,10,7,2022
Armenia,Rosa Linn,"""Snap""",English,61,20,8,2022
Italy,Mahmood and Blanco,"""Brividi""",Italian,268,6,9,2022
Spain,Chanel,"""SloMo""","Spanish, English",459,3,10,2022
Netherlands,S10,"""De diepte""",Dutch,171,11,11,2022
Ukraine,Kalush Orchestra,"""Stefania"" (Стефанія)",Ukrainian,631,1,12,2022
Germany,Malik Harris,"""Rockstars""",English,6,25,13,2022
Lithuania,Monika Liu,"""Sentimentai""",Lithuanian,128,14,14,2022
Azerbaijan,Nadir Rustamli,"""Fade to Black""",English,106,16,15,2022
Belgium,Jérémie Makiese,"""Miss You""",English,64,19,16,2022
Greece,Amanda Georgiadi Tenfjord,"""Die Together""",English,215,8,17,2022
Iceland,Systur,"""Með hækkandi sól""",Icelandic,20,23,18,2022
Moldova,Zdob și Zdub and Advahov Brothers,"""Trenulețul""","Romanian, English",253,7,19,2022
Sweden,Cornelia Jakobs,"""Hold Me Closer""",English,438,4,20,2022
Australia,Sheldon Riley,"""Not the Same""",English,125,15,21,2022
United Kingdom,Sam Ryder,"""Space Man""",English,466,2,22,2022
Poland,Ochman,"""River""",English,151,12,23,2022
Serbia,Konstrakta,"""In corpore sano""","Serbian, Latin",312,5,24,2022
Estonia,Stefan,"""Hope""",English,141,13,25,2022
