,Total score,Switzerland,Denmark,France,Germany,Netherlands,Austria,Italy,United Kingdom,Luxembourg,Belgium,Country,Year
0,5,1,2,0,2,0,0,0,0,0,0,Belgium,1957
1,8,0,0,0,0,0,3,4,1,0,0,Luxembourg,1957
2,6,2,0,0,0,1,1,0,0,1,1,United Kingdom,1957
3,7,0,1,0,0,2,0,0,2,1,1,Italy,1957
4,3,0,0,0,0,1,0,0,2,0,0,Austria,1957
5,31,7,3,4,1,0,6,1,1,3,5,Netherlands,1957
6,8,0,0,6,0,0,0,1,0,0,1,Germany,1957
7,17,0,2,0,6,1,0,0,2,4,2,France,1957
8,10,0,0,0,0,5,0,3,2,0,0,Denmark,1957
9,5,0,2,0,1,0,0,1,0,1,0,Switzerland,1957
