,Total score,Belgium,United Kingdom,Austria,Switzerland,Sweden,Germany,Netherlands,Monaco,Italy,Denmark,France,Country,Year
0,15,2,0,1,1,0,4,0,2,1,4,0,France,1959
1,12,0,2,2,1,4,0,1,1,1,0,0,Denmark,1959
2,9,1,0,0,3,1,0,0,1,0,0,3,Italy,1959
3,1,0,0,1,0,0,0,0,0,0,0,0,Monaco,1959
4,21,3,1,3,0,0,2,0,1,7,0,4,Netherlands,1959
5,5,1,0,0,1,0,0,0,0,1,0,2,Germany,1959
6,4,0,0,0,0,0,0,3,0,0,1,0,Sweden,1959
7,14,1,5,1,0,3,1,0,1,0,2,0,Switzerland,1959
8,4,0,0,0,1,2,0,0,1,0,0,0,Austria,1959
9,16,2,0,2,3,0,0,5,2,0,1,1,United Kingdom,1959
10,9,0,2,0,0,0,3,1,1,0,2,0,Belgium,1959
