,Total score,France,Italy,Germany,Netherlands,Switzerland,Monaco,Austria,Norway,Belgium,Denmark,Luxembourg,Sweden,United Kingdom,Country,Year
0,25,0,2,1,5,4,1,3,2,1,0,5,1,0,United Kingdom,1960
1,4,2,1,0,1,0,0,0,0,0,0,0,0,0,Sweden,1960
2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Luxembourg,1960
3,4,0,0,0,0,0,0,0,2,0,0,1,0,1,Denmark,1960
4,9,0,3,1,0,0,0,1,0,0,0,0,4,0,Belgium,1960
5,11,1,0,0,1,4,0,1,0,1,2,0,0,1,Norway,1960
6,6,0,1,0,0,0,0,0,0,1,2,0,0,2,Austria,1960
7,15,3,0,7,0,1,0,0,0,0,2,1,0,1,Monaco,1960
8,5,0,1,0,0,0,0,2,1,0,0,1,0,0,Switzerland,1960
9,2,0,1,0,0,0,0,0,0,1,0,0,0,0,Netherlands,1960
10,11,4,0,0,0,0,2,2,0,2,0,0,1,0,Germany,1960
11,5,0,0,0,1,0,2,0,0,1,0,1,0,0,Italy,1960
12,32,0,0,1,2,1,5,1,5,3,4,1,4,5,France,1960
