,Total score,Italy,United Kingdom,Luxembourg,Denmark,Norway,Belgium,Switzerland,France,Germany,Sweden,Netherlands,Yugoslavia,Finland,Austria,Monaco,Spain,Country,Year
0,8,0,1,0,0,2,0,0,2,0,1,1,0,0,0,1,0,Spain,1961
1,6,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,1,Monaco,1961
2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Austria,1961
3,6,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,Finland,1961
4,9,0,1,0,1,0,0,1,2,0,0,1,0,0,3,0,0,Yugoslavia,1961
5,6,2,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,Netherlands,1961
6,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Sweden,1961
7,3,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,Germany,1961
8,13,0,2,1,0,0,0,0,0,4,1,0,0,1,0,2,2,France,1961
9,16,2,2,0,0,0,0,0,0,0,4,2,1,0,2,2,1,Switzerland,1961
10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Belgium,1961
11,10,0,0,0,1,0,5,0,0,0,0,0,1,2,0,0,1,Norway,1961
12,12,0,0,0,0,8,0,0,0,0,2,1,0,1,0,0,0,Denmark,1961
13,31,3,0,0,1,0,0,1,1,5,1,1,5,3,4,4,2,Luxembourg,1961
14,24,1,0,8,1,0,1,7,0,0,0,3,0,0,0,0,3,United Kingdom,1961
15,12,0,0,0,4,0,4,0,1,0,0,1,1,0,0,1,0,Italy,1961
