,Total score,Monaco,Italy,Luxembourg,United Kingdom,Yugoslavia,Switzerland,Norway,France,Netherlands,Germany,Sweden,Denmark,Austria,Spain,Belgium,Finland,Country,Year
0,4,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,Finland,1962
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Belgium,1962
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Spain,1962
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Austria,1962
4,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Denmark,1962
5,4,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,Sweden,1962
6,9,2,0,0,2,0,0,0,0,2,0,0,1,0,0,0,2,Germany,1962
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Netherlands,1962
8,26,1,2,1,1,3,3,3,0,0,3,3,0,2,2,2,0,France,1962
9,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Norway,1962
10,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,Switzerland,1962
11,10,0,3,0,0,0,0,0,3,0,0,2,0,0,0,1,1,Yugoslavia,1962
12,10,0,0,0,0,2,2,0,0,0,0,0,2,0,1,0,3,United Kingdom,1962
13,11,3,0,0,0,0,1,0,0,0,0,0,0,1,3,3,0,Luxembourg,1962
14,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,Italy,1962
15,13,0,0,3,0,0,0,2,1,3,1,0,0,3,0,0,0,Monaco,1962
