,Total score,United Kingdom,Netherlands,Germany,Austria,Norway,Italy,Finland,Denmark,Yugoslavia,Switzerland,France,Spain,Sweden,Belgium,Monaco,Luxembourg,Country,Year
0,28,0,3,0,0,5,0,3,3,3,0,3,5,2,0,1,0,United Kingdom,1963
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Netherlands,1963
2,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,Germany,1963
3,16,4,0,0,0,0,0,4,1,0,0,2,0,3,2,0,0,Austria,1963
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Norway,1963
5,37,2,1,0,0,3,0,2,5,4,5,0,3,0,3,5,4,Italy,1963
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Finland,1963
7,42,3,5,2,3,4,2,5,0,0,3,0,0,5,5,0,5,Denmark,1963
8,3,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,Yugoslavia,1963
9,40,5,0,4,5,1,5,0,4,0,0,0,4,1,4,4,3,Switzerland,1963
10,25,0,4,1,2,0,4,0,0,5,4,0,1,0,1,2,1,France,1963
11,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,Spain,1963
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sweden,1963
13,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,Belgium,1963
14,25,1,2,5,1,0,3,0,0,1,1,5,0,4,0,0,2,Monaco,1963
15,13,0,0,3,0,0,1,1,2,0,2,4,0,0,0,0,0,Luxembourg,1963
