,Total score,Luxembourg,Netherlands,Norway,Denmark,Finland,Austria,France,United Kingdom,Germany,Monaco,Portugal,Italy,Yugoslavia,Switzerland,Belgium,Spain,Country,Year
0,14,0,3,0,0,0,0,3,0,5,0,0,3,0,0,0,0,Luxembourg,1964
1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,Netherlands,1964
2,6,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,Norway,1964
3,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,Denmark,1964
4,9,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,Finland,1964
5,11,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,5,Austria,1964
6,14,1,0,0,0,0,3,0,0,0,5,3,0,1,0,0,1,France,1964
7,17,0,1,5,0,3,1,1,0,1,0,0,0,0,5,0,0,United Kingdom,1964
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Germany,1964
9,15,3,0,0,0,0,0,5,0,0,0,0,0,3,1,3,0,Monaco,1964
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Portugal,1964
11,49,5,5,0,0,5,5,0,5,3,3,5,0,5,3,5,0,Italy,1964
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yugoslavia,1964
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Switzerland,1964
14,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Belgium,1964
15,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Spain,1964
