,Total score,Netherlands,United Kingdom,Spain,Ireland,Germany,Austria,Norway,Belgium,Monaco,Sweden,France,Portugal,Italy,Denmark,Luxembourg,Finland,Yugoslavia,Switzerland,Country,Year
0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,Netherlands,1965
1,26,0,0,5,0,0,0,1,6,0,3,0,0,1,5,0,0,0,5,United Kingdom,1965
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Spain,1965
3,11,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,3,0,Ireland,1965
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Germany,1965
5,16,0,3,0,5,0,0,0,0,0,0,0,5,3,0,0,0,0,0,Austria,1965
6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Norway,1965
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Belgium,1965
8,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Monaco,1965
9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,Sweden,1965
10,22,1,0,3,1,3,0,0,0,5,0,0,0,0,0,3,1,5,0,France,1965
11,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Portugal,1965
12,15,3,1,0,0,1,0,0,3,3,0,3,0,0,0,1,0,0,0,Italy,1965
13,10,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,Denmark,1965
14,32,5,0,1,3,5,5,3,0,0,1,0,0,0,1,0,5,0,3,Luxembourg,1965
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Finland,1965
16,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Yugoslavia,1965
17,8,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,Switzerland,1965
