,Total score,Germany,Denmark,Belgium,Luxembourg,Yugoslavia,Norway,Finland,Portugal,Austria,Sweden,Spain,Switzerland,Monaco,Italy,France,Netherlands,Ireland,United Kingdom,Country,Year
0,7,0,0,1,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,Germany,1966
1,4,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,Denmark,1966
2,14,5,0,0,0,0,0,0,3,0,1,0,0,0,0,0,5,0,0,Belgium,1966
3,7,0,0,0,0,0,0,0,0,1,5,0,0,0,0,1,0,0,0,Luxembourg,1966
4,9,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,Yugoslavia,1966
5,15,1,0,0,0,0,0,0,0,3,3,3,0,0,5,0,0,0,0,Norway,1966
6,7,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,Finland,1966
7,6,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,Portugal,1966
8,31,0,0,5,5,5,0,0,1,0,0,1,3,5,3,3,0,0,0,Austria,1966
9,16,0,5,0,0,0,5,5,0,0,0,0,1,0,0,0,0,0,0,Sweden,1966
10,9,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,3,Spain,1966
11,12,0,0,0,1,0,0,0,0,5,0,0,0,3,0,0,0,3,0,Switzerland,1966
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Monaco,1966
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Italy,1966
14,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,France,1966
15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Netherlands,1966
16,14,0,0,3,0,3,0,0,0,0,0,0,0,0,0,5,3,0,0,Ireland,1966
17,8,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,United Kingdom,1966
