,Total score,Netherlands,Luxembourg,Austria,France,Portugal,Switzerland,Sweden,Finland,Germany,Belgium,United Kingdom,Spain,Norway,Monaco,Yugoslavia,Italy,Ireland,Country,Year
0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Netherlands,1967
1,17,4,0,0,0,0,0,0,2,0,1,2,1,0,1,1,3,2,Luxembourg,1967
2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Austria,1967
3,20,1,2,1,0,0,1,4,0,2,0,2,0,0,2,4,0,1,France,1967
4,3,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,Portugal,1967
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Switzerland,1967
6,7,0,0,0,0,1,0,0,1,0,0,0,0,2,0,1,0,2,Sweden,1967
7,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Finland,1967
8,7,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,1,Germany,1967
9,8,0,0,0,0,1,0,0,3,1,0,1,0,0,0,1,0,1,Belgium,1967
10,47,2,5,3,7,1,7,1,2,3,3,0,0,7,3,0,2,1,United Kingdom,1967
11,9,1,1,1,0,2,0,0,0,0,1,0,0,0,2,1,0,0,Spain,1967
12,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Norway,1967
13,10,0,0,2,1,0,0,1,0,0,0,0,5,0,0,0,1,0,Monaco,1967
14,7,0,1,0,1,1,0,0,0,0,1,0,2,0,0,0,1,0,Yugoslavia,1967
15,4,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,Italy,1967
16,22,0,1,3,0,1,0,2,2,4,3,2,0,0,2,1,1,0,Ireland,1967
