,Total score,Portugal,Netherlands,Belgium,Austria,Luxembourg,Switzerland,Monaco,Sweden,Finland,France,Italy,United Kingdom,Norway,Ireland,Spain,Germany,Yugoslavia,Country,Year
0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,Portugal,1968
1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Netherlands,1968
2,8,1,0,0,0,0,0,0,0,1,1,3,1,0,0,1,0,0,Belgium,1968
3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,Austria,1968
4,5,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,Luxembourg,1968
5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Switzerland,1968
6,8,0,2,0,0,1,0,0,0,3,0,0,1,0,1,0,0,0,Monaco,1968
7,15,1,1,0,0,0,0,0,0,1,0,0,2,6,4,0,0,0,Sweden,1968
8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Finland,1968
9,20,0,3,6,2,3,3,0,1,0,0,2,0,0,0,0,0,0,France,1968
10,7,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,Italy,1968
11,28,1,2,2,0,1,4,5,3,2,4,1,0,0,1,0,2,0,United Kingdom,1968
12,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Norway,1968
13,18,1,1,1,4,1,0,0,4,0,0,0,0,0,0,0,0,6,Ireland,1968
14,29,4,0,0,2,1,0,4,0,3,4,3,0,1,1,0,6,0,Spain,1968
15,11,0,0,0,0,1,1,0,2,0,0,0,5,0,0,2,0,0,Germany,1968
16,8,1,0,1,1,1,0,0,0,0,0,0,0,0,3,1,0,0,Yugoslavia,1968
