,Total score,Yugoslavia,Luxembourg,Spain,Monaco,Ireland,Italy,United Kingdom,Netherlands,Sweden,Belgium,Switzerland,Norway,Germany,France,Portugal,Finland,Country,Year
0,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,Yugoslavia,1969
1,7,1,0,0,3,0,0,0,1,0,1,0,0,1,0,0,0,Luxembourg,1969
2,18,1,2,0,3,1,0,0,0,0,3,0,1,3,2,2,0,Spain,1969
3,11,0,0,2,0,0,4,0,2,2,1,0,0,0,0,0,0,Monaco,1969
4,10,0,0,0,0,0,0,1,1,1,0,3,0,1,0,0,3,Ireland,1969
5,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,Italy,1969
6,18,2,4,0,0,0,3,0,1,5,0,0,0,1,0,1,1,United Kingdom,1969
7,18,0,2,0,1,0,3,0,0,0,1,4,1,0,6,0,0,Netherlands,1969
8,8,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,3,Sweden,1969
9,10,0,0,2,0,0,0,3,1,0,0,2,2,0,0,0,0,Belgium,1969
10,13,2,0,0,0,3,0,2,0,0,1,0,1,2,0,0,2,Switzerland,1969
11,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Norway,1969
12,8,3,0,2,0,0,0,0,0,0,1,0,1,0,1,0,0,Germany,1969
13,18,0,1,0,2,4,0,4,2,1,0,1,0,1,0,2,0,France,1969
14,4,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,Portugal,1969
15,6,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,Finland,1969
