,Total score,Netherlands,Switzerland,Italy,Yugoslavia,Belgium,France,United Kingdom,Luxembourg,Spain,Monaco,Germany,Ireland,Country,Year
0,7,0,0,3,3,0,0,1,0,0,0,0,0,Netherlands,1970
1,8,2,0,0,0,0,2,1,0,0,0,2,1,Switzerland,1970
2,5,0,0,0,1,0,0,0,0,2,0,2,0,Italy,1970
3,4,0,0,0,0,0,0,4,0,0,0,0,0,Yugoslavia,1970
4,5,0,0,0,0,0,3,0,1,0,0,0,1,Belgium,1970
5,8,0,0,1,2,0,0,0,0,0,2,0,3,France,1970
6,26,3,2,2,4,0,2,0,2,0,4,4,3,United Kingdom,1970
7,0,0,0,0,0,0,0,0,0,0,0,0,0,Luxembourg,1970
8,8,0,0,3,0,0,0,0,2,0,3,0,0,Spain,1970
9,5,0,1,0,0,1,2,0,0,1,0,0,0,Monaco,1970
10,12,0,1,1,0,0,0,0,3,4,1,0,2,Germany,1970
11,32,5,6,0,0,9,1,4,2,3,0,2,0,Ireland,1970
