,Total score,Finland,Luxembourg,Israel,Norway,United Kingdom,Yugoslavia,Greece,Ireland,Germany,Portugal,Netherlands,Sweden,Spain,Monaco,Switzerland,Belgium,Italy,Country,Year
0,4,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Finland,1974
1,14,1,0,0,0,0,4,1,1,2,0,0,0,0,0,1,1,3,United Kingdom,1974
2,10,0,1,0,2,0,0,0,0,1,2,1,0,0,3,0,0,0,Spain,1974
3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,Norway,1974
4,7,0,0,0,0,0,0,0,0,0,1,4,2,0,0,0,0,0,Greece,1974
5,11,0,0,0,0,2,0,0,1,0,2,2,1,0,0,0,0,3,Israel,1974
6,6,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,Yugoslavia,1974
7,24,5,1,2,2,0,1,0,1,2,1,3,0,1,0,5,0,0,Sweden,1974
8,14,0,0,2,0,0,2,1,3,1,0,0,0,1,1,0,1,2,Luxembourg,1974
9,14,0,2,1,1,0,0,0,1,2,1,0,1,2,0,1,2,0,Monaco,1974
10,10,0,3,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,Belgium,1974
11,15,1,0,1,1,0,3,2,1,1,1,0,3,0,0,0,1,0,Netherlands,1974
12,11,0,2,1,2,1,0,0,0,0,0,0,2,2,1,0,0,0,Ireland,1974
13,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,Germany,1974
14,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,Switzerland,1974
15,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,Portugal,1974
16,18,2,1,1,0,5,0,0,1,0,1,0,0,2,4,0,1,0,Italy,1974
