,Total score,United Kingdom,Switzerland,Germany,Israel,Luxembourg,Belgium,Ireland,Netherlands,Norway,Greece,Finland,Spain,Italy,Austria,Portugal,Monaco,France,Yugoslavia,Country,Year
0,164,0,12,8,12,8,12,3,10,12,12,10,12,4,10,12,10,7,10,United Kingdom,1976
1,91,12,0,5,4,1,7,1,6,10,2,7,4,0,8,7,4,6,7,Switzerland,1976
2,12,0,2,0,0,2,1,0,0,0,0,0,2,0,0,0,0,2,3,Germany,1976
3,77,6,7,3,0,7,5,4,2,7,0,8,1,10,6,2,1,0,8,Israel,1976
4,17,0,0,0,0,0,6,6,5,0,0,0,0,0,0,0,0,0,0,Luxembourg,1976
5,68,7,6,0,1,0,0,0,4,6,0,12,0,8,3,8,8,5,0,Belgium,1976
6,54,10,0,1,3,3,0,0,0,0,8,0,5,12,2,0,6,3,1,Ireland,1976
7,56,0,4,4,8,4,4,2,0,1,7,0,3,2,4,6,2,0,5,Netherlands,1976
8,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,Norway,1976
9,20,0,0,0,0,0,2,0,0,0,0,4,0,5,0,1,0,8,0,Greece,1976
10,44,2,0,6,6,0,0,5,1,4,0,0,6,0,7,0,7,0,0,Finland,1976
11,11,3,0,0,0,0,0,0,0,0,1,0,0,3,0,0,3,1,0,Spain,1976
12,69,1,8,0,2,0,0,12,0,3,10,6,0,0,1,10,0,10,6,Italy,1976
13,80,4,3,10,10,5,3,10,7,2,6,5,8,0,0,0,5,0,2,Austria,1976
14,24,0,0,0,0,6,0,0,0,0,4,1,0,1,0,0,0,12,0,Portugal,1976
15,93,5,5,7,7,12,8,8,8,5,0,2,7,7,5,3,0,0,4,Monaco,1976
16,147,8,10,12,5,10,10,7,12,8,5,3,10,6,12,5,12,0,12,France,1976
17,10,0,1,2,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,Yugoslavia,1976
