,Total score,Ireland,Monaco,Netherlands,Austria,Norway,Germany,Luxembourg,Portugal,United Kingdom,Greece,Israel,Switzerland,Sweden,Spain,Italy,Finland,Belgium,France,Country,Year
0,119,0,8,1,5,12,5,8,1,12,10,12,8,12,4,8,0,3,10,Ireland,1977
1,96,5,0,0,8,1,6,1,6,7,12,2,6,10,8,12,5,2,5,Monaco,1977
2,35,3,3,0,0,0,0,0,0,1,1,1,7,0,1,0,0,10,8,Netherlands,1977
3,11,0,5,0,0,2,0,0,0,0,3,0,0,0,0,0,1,0,0,Austria,1977
4,18,0,0,0,0,0,0,3,2,2,0,0,0,1,0,5,0,5,0,Norway,1977
5,55,1,1,3,2,0,0,2,8,8,8,5,0,5,5,6,0,0,1,Germany,1977
6,17,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,8,0,0,Luxembourg,1977
7,18,0,2,2,0,0,1,0,0,0,0,0,4,0,0,3,0,0,6,Portugal,1977
8,121,0,12,7,12,7,10,12,12,0,0,8,0,8,3,2,4,12,12,United Kingdom,1977
9,92,0,10,10,4,4,4,6,10,5,0,3,1,7,12,1,6,6,3,Greece,1977
10,49,7,7,5,3,5,0,0,0,0,0,0,10,3,6,0,0,1,2,Israel,1977
11,71,6,0,0,10,10,0,5,4,4,6,4,0,0,0,4,10,8,0,Switzerland,1977
12,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Sweden,1977
13,52,0,0,6,1,0,7,7,0,3,4,0,3,0,0,7,7,7,0,Spain,1977
14,33,8,6,0,0,0,3,0,3,0,0,0,2,0,2,0,2,0,7,Italy,1977
15,50,12,0,4,6,8,0,0,0,0,2,7,5,2,0,0,0,0,4,Finland,1977
16,69,4,0,12,0,6,8,4,7,10,5,6,0,4,0,0,3,0,0,Belgium,1977
17,136,10,4,8,7,3,12,10,5,6,7,10,12,6,10,10,12,4,0,France,1977
