,Total score,Ireland,Norway,Italy,Finland,Portugal,France,Spain,United Kingdom,Switzerland,Belgium,Netherlands,Turkey,Germany,Monaco,Greece,Denmark,Luxembourg,Israel,Austria,Sweden,Country,Year
0,86,0,12,0,3,0,5,0,0,7,10,0,10,5,0,10,0,10,0,6,8,Ireland,1978
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Norway,1978
2,53,10,6,0,0,1,4,8,6,1,1,0,1,2,8,2,0,3,0,0,0,Italy,1978
3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Finland,1978
4,5,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Portugal,1978
5,119,6,3,10,2,2,0,5,8,6,8,6,4,10,5,8,8,1,5,12,10,France,1978
6,65,0,0,0,7,0,0,0,0,8,2,4,7,0,4,6,12,2,6,7,0,Spain,1978
7,61,3,0,0,0,6,2,3,0,2,4,2,6,8,7,3,0,5,2,5,3,United Kingdom,1978
8,65,0,5,1,1,0,7,4,2,0,7,8,0,6,2,0,3,8,1,10,0,Switzerland,1978
9,125,12,7,6,6,4,12,2,12,10,0,5,0,3,12,12,0,7,7,4,4,Belgium,1978
10,37,0,0,5,0,0,0,0,3,0,0,0,0,4,1,0,5,6,12,0,1,Netherlands,1978
11,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Turkey,1978
12,84,1,0,3,12,7,0,10,0,3,5,7,8,0,10,7,1,0,3,0,7,Germany,1978
13,107,4,4,7,8,5,1,0,10,5,6,10,5,7,0,4,10,0,8,1,12,Monaco,1978
14,66,7,0,2,5,8,10,7,0,4,0,0,0,0,0,0,4,4,10,3,2,Greece,1978
15,13,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,4,2,0,Denmark,1978
16,73,2,0,12,0,12,0,12,7,0,3,3,2,0,6,1,7,0,0,0,6,Luxembourg,1978
17,157,8,8,8,10,10,8,6,5,12,12,12,12,12,3,5,6,12,0,8,0,Israel,1978
18,14,0,0,0,0,3,0,0,0,0,0,0,3,1,0,0,2,0,0,0,5,Austria,1978
19,26,5,10,0,4,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,Sweden,1978
