,Total score,Portugal,Italy,Denmark,Ireland,Finland,Monaco,Greece,Switzerland,Germany,Israel,France,Belgium,Luxembourg,Netherlands,Sweden,Norway,United Kingdom,Austria,Spain,Country,Year
0,64,0,6,0,0,2,5,0,4,4,0,10,5,3,3,3,6,0,7,6,Portugal,1979
1,27,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,8,Italy,1979
2,76,0,0,0,2,0,3,12,1,10,12,6,7,4,8,1,0,3,3,4,Denmark,1979
3,80,5,5,5,0,6,0,10,6,6,3,0,10,7,0,8,5,4,0,0,Ireland,1979
4,38,0,7,0,0,0,0,7,8,5,0,5,0,6,0,0,0,0,0,0,Finland,1979
5,12,1,2,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,Monaco,1979
6,69,10,0,1,4,0,7,0,7,2,10,4,1,5,7,2,0,0,2,7,Greece,1979
7,60,0,0,7,1,10,2,2,0,7,4,7,0,0,0,0,8,0,12,0,Switzerland,1979
8,86,2,1,12,5,3,12,0,0,0,6,12,4,1,2,6,0,8,0,12,Germany,1979
9,125,12,0,6,12,12,8,4,5,0,0,1,2,8,1,12,12,12,8,10,Israel,1979
10,106,6,10,0,0,1,10,8,10,0,5,0,6,12,12,5,7,6,5,3,France,1979
11,5,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,Belgium,1979
12,44,7,0,0,3,4,4,5,3,0,0,2,0,0,4,0,2,10,0,0,Luxembourg,1979
13,51,0,0,8,10,5,0,3,0,3,7,0,3,0,0,4,4,0,4,0,Netherlands,1979
14,8,0,0,0,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Sweden,1979
15,57,3,3,0,8,0,6,0,0,0,2,0,8,2,6,10,0,7,1,1,Norway,1979
16,73,4,8,10,7,7,1,0,2,8,0,0,0,0,5,0,10,0,6,5,United Kingdom,1979
17,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Austria,1979
18,116,0,12,3,0,0,0,6,12,12,8,8,12,10,10,7,1,5,10,0,Spain,1979
