,Total score,Austria,Turkey,Greece,Luxembourg,Morocco,Italy,Denmark,Sweden,Switzerland,Finland,Norway,Germany,United Kingdom,Portugal,Netherlands,France,Ireland,Spain,Belgium,Country,Year
0,64,0,0,1,0,3,4,5,1,4,5,6,4,6,3,3,4,10,4,1,Austria,1980
1,23,3,0,0,0,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,Turkey,1980
2,30,5,0,0,1,0,2,2,0,0,0,4,0,3,1,8,0,4,0,0,Greece,1980
3,56,1,1,0,0,0,0,4,6,0,3,7,0,8,0,0,7,8,3,8,Luxembourg,1980
4,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,Morocco,1980
5,87,2,6,2,0,0,0,3,10,8,6,2,7,4,12,1,2,2,10,10,Italy,1980
6,25,0,0,4,0,2,0,0,0,6,7,1,5,0,0,0,0,0,0,0,Denmark,1980
7,47,0,8,10,10,6,5,0,0,5,0,0,2,0,0,0,0,0,1,0,Sweden,1980
8,104,6,2,0,5,7,3,8,2,0,12,10,10,7,6,10,0,12,2,2,Switzerland,1980
9,6,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,Finland,1980
10,15,0,0,0,0,4,0,0,0,0,0,0,6,0,0,2,3,0,0,0,Norway,1980
11,128,8,10,0,3,10,12,7,5,7,2,0,0,10,8,12,10,5,12,7,Germany,1980
12,106,7,5,0,8,8,0,10,12,10,4,0,3,0,7,7,5,6,8,6,United Kingdom,1980
13,71,0,4,5,4,0,10,6,8,2,1,8,1,0,0,5,6,7,0,4,Portugal,1980
14,93,12,12,6,12,0,0,0,3,3,10,0,8,2,4,0,12,1,5,3,Netherlands,1980
15,45,0,3,7,2,1,0,1,4,1,0,3,0,5,0,4,0,3,6,5,France,1980
16,143,10,0,12,7,0,1,12,7,12,8,12,12,12,5,6,8,0,7,12,Ireland,1980
17,38,4,7,8,6,5,6,0,0,0,0,0,0,0,2,0,0,0,0,0,Spain,1980
18,14,0,0,3,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,Belgium,1980
