,Total score,Austria,Turkey,Germany,Luxembourg,Israel,Denmark,Yugoslavia,Finland,France,Spain,Netherlands,Ireland,Norway,United Kingdom,Portugal,Belgium,Greece,Cyprus,Switzerland,Sweden,Country,Year
0,20,0,6,0,0,0,1,0,0,5,6,0,0,0,0,0,0,0,0,0,2,Austria,1981
1,9,0,0,0,1,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,Turkey,1981
2,132,5,12,0,3,8,8,2,7,8,12,3,6,4,7,12,10,5,8,0,12,Germany,1981
3,41,10,0,5,0,3,0,0,4,3,1,0,0,0,0,4,0,0,0,6,5,Luxembourg,1981
4,56,8,0,0,4,0,0,0,6,0,0,7,7,8,4,5,0,0,0,4,3,Israel,1981
5,41,0,1,1,7,0,0,0,0,4,3,2,0,0,5,2,12,0,0,0,4,Denmark,1981
6,35,0,4,0,0,0,0,0,8,0,0,0,2,1,0,0,5,2,3,10,0,Yugoslavia,1981
7,27,0,0,0,0,2,0,0,0,1,2,5,5,0,0,1,0,0,0,5,6,Finland,1981
8,125,12,0,12,12,7,2,4,10,0,0,6,4,5,1,10,3,8,7,12,10,France,1981
9,38,0,10,0,0,6,0,0,0,0,0,4,3,10,0,3,0,0,0,2,0,Spain,1981
10,51,3,5,3,0,4,7,0,0,2,7,0,0,0,6,7,2,3,2,0,0,Netherlands,1981
11,105,7,3,6,10,10,12,5,0,6,5,10,0,0,0,0,1,10,12,1,7,Ireland,1981
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Norway,1981
13,136,4,8,4,5,12,10,10,3,7,8,12,10,3,0,6,8,6,4,8,8,United Kingdom,1981
14,9,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Portugal,1981
15,40,1,7,0,0,1,6,8,2,0,0,0,0,0,3,0,0,7,5,0,0,Belgium,1981
16,55,6,0,2,6,0,0,1,0,0,10,0,1,2,8,0,6,0,6,7,0,Greece,1981
17,69,0,0,0,0,5,3,6,0,0,0,8,8,7,10,0,7,12,0,3,0,Cyprus,1981
18,121,2,2,7,8,0,4,12,12,10,4,1,12,12,12,8,0,4,10,0,1,Switzerland,1981
19,50,0,0,10,2,0,5,7,1,12,0,0,0,6,2,0,4,0,1,0,0,Sweden,1981
