,Total score,Portugal,Luxembourg,Norway,United Kingdom,Turkey,Finland,Switzerland,Cyprus,Sweden,Austria,Belgium,Spain,Denmark,Yugoslavia,Israel,Netherlands,Ireland,Germany,Country,Year
0,32,0,7,0,4,5,2,1,0,6,0,0,0,0,0,1,4,2,0,Portugal,1982
1,78,6,0,7,6,3,7,0,0,0,2,8,5,4,0,5,7,10,8,Luxembourg,1982
2,40,0,6,0,0,0,0,0,4,4,6,2,2,0,0,0,0,6,10,Norway,1982
3,76,4,12,6,0,10,4,5,3,0,12,0,1,2,6,2,1,7,1,United Kingdom,1982
4,20,0,8,3,0,0,1,3,0,0,3,0,0,0,0,0,2,0,0,Turkey,1982
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Finland,1982
6,97,2,2,4,12,2,0,0,6,2,10,12,0,7,10,10,10,8,0,Switzerland,1982
7,85,5,4,12,3,0,8,8,0,0,5,3,7,0,5,7,12,0,6,Cyprus,1982
8,67,7,3,8,5,0,3,4,0,0,8,5,4,8,2,0,5,3,2,Sweden,1982
9,57,0,0,0,10,7,0,0,7,0,0,6,8,6,4,4,0,5,0,Austria,1982
10,96,8,5,5,2,6,5,2,8,7,4,0,10,10,7,6,3,4,4,Belgium,1982
11,52,0,1,0,0,8,6,7,10,0,0,4,0,0,1,8,0,0,7,Spain,1982
12,5,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Denmark,1982
13,21,0,0,0,0,4,0,0,1,12,0,1,0,3,0,0,0,0,0,Yugoslavia,1982
14,100,10,10,1,1,0,12,10,2,10,7,7,6,1,3,0,8,0,12,Israel,1982
15,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,Netherlands,1982
16,49,1,0,2,7,1,0,6,5,5,0,0,3,5,8,3,0,0,3,Ireland,1982
17,161,12,0,10,8,12,10,12,12,8,1,10,12,12,12,12,6,12,0,Germany,1982
