,Total score,France,Norway,United Kingdom,Sweden,Italy,Turkey,Spain,Switzerland,Finland,Greece,Netherlands,Yugoslavia,Cyprus,Germany,Denmark,Israel,Portugal,Austria,Belgium,Luxembourg,Country,Year
0,56,0,3,0,0,10,0,0,10,6,7,2,3,4,4,0,1,3,0,0,3,France,1983
1,53,0,0,5,3,0,6,0,0,0,0,8,0,0,1,8,4,6,3,7,2,Norway,1983
2,79,5,5,0,12,2,5,0,8,0,5,5,0,6,3,5,0,2,10,0,6,United Kingdom,1983
3,126,6,12,8,0,8,7,2,5,10,10,3,1,7,12,10,8,4,8,5,0,Sweden,1983
4,41,7,0,0,2,0,4,3,0,1,2,0,8,1,0,0,6,7,0,0,0,Italy,1983
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Turkey,1983
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Spain,1983
7,28,0,1,0,0,7,0,1,0,0,0,0,7,0,0,0,0,0,6,1,5,Switzerland,1983
8,41,1,2,6,0,0,3,0,4,0,8,0,0,0,7,0,7,0,2,0,1,Finland,1983
9,32,3,0,0,0,0,0,12,0,5,0,0,0,12,0,0,0,0,0,0,0,Greece,1983
10,66,2,7,1,6,4,2,0,12,3,0,0,5,5,2,4,3,0,4,2,4,Netherlands,1983
11,125,0,8,12,0,1,12,10,0,12,6,7,0,8,6,12,10,0,1,12,8,Yugoslavia,1983
12,26,0,4,0,0,0,0,0,1,0,0,0,6,0,5,1,5,0,0,4,0,Cyprus,1983
13,94,10,10,7,8,6,0,0,2,4,1,10,0,0,0,3,0,8,7,6,12,Germany,1983
14,16,0,0,2,7,0,1,4,0,0,0,0,0,2,0,0,0,0,0,0,0,Denmark,1983
15,136,8,6,10,5,3,0,6,7,7,3,12,10,0,10,7,0,10,12,10,10,Israel,1983
16,33,4,0,0,1,0,0,5,6,2,0,6,2,0,0,0,0,0,0,0,7,Portugal,1983
17,53,0,0,3,4,5,10,0,0,0,4,4,4,3,0,6,2,5,0,3,0,Austria,1983
18,13,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,Belgium,1983
19,142,12,0,0,10,12,8,7,3,8,12,1,12,10,8,2,12,12,5,8,0,Luxembourg,1983
