,Total score,Sweden,Luxembourg,France,Spain,Norway,United Kingdom,Cyprus,Belgium,Ireland,Denmark,Netherlands,Yugoslavia,Austria,Germany,Turkey,Finland,Switzerland,Italy,Portugal,Country,Year
0,145,0,6,6,4,10,7,12,7,12,12,10,4,12,12,3,8,10,6,4,Sweden,1984
1,39,0,0,0,7,0,0,7,0,5,5,0,8,0,0,4,0,0,3,0,Luxembourg,1984
2,61,2,0,0,0,2,6,3,10,0,0,12,0,8,0,0,0,4,7,7,France,1984
3,106,10,8,10,0,6,4,6,3,7,7,2,2,6,0,12,0,3,8,12,Spain,1984
4,29,8,7,0,0,0,0,0,1,3,0,0,0,0,2,0,6,2,0,0,Norway,1984
5,63,3,1,0,3,8,0,2,2,8,1,4,1,2,7,1,4,0,10,6,United Kingdom,1984
6,31,4,0,1,0,0,0,0,0,4,10,0,12,0,0,0,0,0,0,0,Cyprus,1984
7,70,0,12,12,2,3,0,0,0,0,0,8,0,3,4,5,10,0,1,10,Belgium,1984
8,137,12,5,3,10,4,8,10,12,0,3,7,0,10,10,10,7,12,12,2,Ireland,1984
9,101,5,3,8,6,12,12,5,8,10,0,3,6,4,5,2,5,1,5,1,Denmark,1984
10,34,0,2,7,8,0,1,0,0,6,0,0,5,0,0,0,0,5,0,0,Netherlands,1984
11,26,0,0,2,0,0,3,8,0,0,0,0,0,0,3,8,2,0,0,0,Yugoslavia,1984
12,5,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,Austria,1984
13,34,0,0,4,0,7,2,0,6,0,2,5,0,1,0,0,0,0,2,5,Germany,1984
14,37,6,0,0,0,0,5,0,4,2,0,1,10,0,0,0,3,6,0,0,Turkey,1984
15,46,7,0,5,1,5,0,4,0,0,6,0,3,5,1,6,0,0,0,3,Finland,1984
16,30,1,0,0,0,0,10,1,5,0,8,0,0,0,0,0,1,0,4,0,Switzerland,1984
17,70,0,10,0,12,1,0,0,0,0,0,0,0,7,6,7,12,7,0,8,Italy,1984
18,38,0,4,0,5,0,0,0,0,0,0,6,7,0,8,0,0,8,0,0,Portugal,1984
