,Total score,Ireland,Finland,Cyprus,Denmark,Spain,France,Turkey,Belgium,Portugal,Germany,Israel,Italy,Norway,United Kingdom,Switzerland,Sweden,Austria,Luxembourg,Greece,Country,Year
0,91,0,1,7,3,4,3,5,8,8,4,8,12,3,3,5,7,10,0,0,Ireland,1985
1,58,6,0,6,0,6,0,3,0,0,0,1,7,0,7,2,10,0,0,10,Finland,1985
2,15,1,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,8,Cyprus,1985
3,41,0,0,3,0,0,10,0,3,1,6,0,2,6,0,0,5,5,0,0,Denmark,1985
4,36,2,8,1,0,0,0,12,0,2,0,0,0,0,4,0,0,0,1,6,Spain,1985
5,56,0,5,4,0,0,0,1,0,3,0,3,10,0,2,4,6,3,3,12,France,1985
6,36,7,2,0,0,3,0,0,1,0,2,0,0,1,8,12,0,0,0,0,Turkey,1985
7,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,Belgium,1985
8,9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,Portugal,1985
9,105,4,10,12,10,10,8,0,10,7,0,7,0,8,1,0,8,0,10,0,Germany,1985
10,93,8,0,5,4,8,12,0,0,5,7,0,5,10,5,7,2,7,6,2,Israel,1985
11,78,0,6,10,1,12,5,8,2,12,0,4,0,0,0,0,0,6,12,0,Italy,1985
12,123,12,4,0,12,1,2,0,12,0,12,12,6,0,12,6,12,12,7,1,Norway,1985
13,100,5,7,0,5,5,6,10,6,6,5,2,8,7,0,10,4,2,8,4,United Kingdom,1985
14,39,0,3,2,6,0,0,6,5,4,1,0,0,5,0,0,1,1,2,3,Switzerland,1985
15,103,10,12,0,8,2,7,4,7,0,8,6,4,12,6,8,0,4,5,0,Sweden,1985
16,60,3,0,0,7,0,1,0,4,0,10,10,0,2,10,1,3,0,4,5,Austria,1985
17,37,0,0,0,2,0,4,0,0,10,3,5,1,4,0,0,0,8,0,0,Luxembourg,1985
18,15,0,0,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Greece,1985
