,Total score,Luxembourg,Yugoslavia,France,Norway,United Kingdom,Iceland,Netherlands,Turkey,Spain,Switzerland,Israel,Ireland,Belgium,Germany,Cyprus,Austria,Sweden,Denmark,Finland,Portugal,Country,Year
0,117,0,5,8,12,8,1,8,0,0,2,4,7,10,12,8,10,10,2,4,6,Luxembourg,1986
1,49,2,0,0,0,7,5,7,3,3,0,1,3,4,0,12,1,1,0,0,0,Yugoslavia,1986
2,13,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,France,1986
3,44,0,0,4,0,0,4,2,0,0,6,0,6,5,6,6,0,0,5,0,0,Norway,1986
4,72,4,0,10,6,0,0,0,6,2,4,2,0,0,5,2,3,8,8,10,2,United Kingdom,1986
5,19,0,0,0,0,0,0,5,2,6,0,0,0,0,0,4,0,2,0,0,0,Iceland,1986
6,40,1,2,0,0,0,0,0,7,1,0,8,0,0,10,1,0,0,0,3,7,Netherlands,1986
7,53,6,12,0,0,2,0,6,0,0,8,3,0,6,8,0,2,0,0,0,0,Turkey,1986
8,51,7,4,6,0,1,2,0,8,0,1,0,5,3,0,0,7,0,3,1,3,Spain,1986
9,140,12,6,7,5,5,3,12,10,4,0,12,10,12,0,5,4,12,4,7,10,Switzerland,1986
10,7,0,0,1,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,Israel,1986
11,96,3,8,3,2,0,8,0,5,12,0,6,0,2,0,0,12,7,12,8,8,Ireland,1986
12,176,10,10,12,8,10,10,10,12,10,10,5,12,0,1,10,6,6,10,12,12,Belgium,1986
13,62,8,1,0,0,12,0,0,0,0,0,0,8,7,0,0,8,5,7,2,4,Germany,1986
14,4,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Cyprus,1986
15,12,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,6,1,Austria,1986
16,78,5,7,2,7,3,12,3,0,7,12,0,0,0,4,0,5,0,6,5,0,Sweden,1986
17,77,0,0,5,10,6,7,4,0,5,3,10,4,0,7,7,0,4,0,0,5,Denmark,1986
18,22,0,0,0,0,0,6,1,1,0,0,0,0,8,3,3,0,0,0,0,0,Finland,1986
19,28,0,0,0,4,4,0,0,4,8,0,7,0,0,0,0,0,0,1,0,0,Portugal,1986
