,Total score,Norway,Israel,Austria,Iceland,Belgium,Sweden,Italy,Portugal,Spain,Turkey,Greece,Netherlands,Luxembourg,United Kingdom,France,Germany,Cyprus,Finland,Denmark,Ireland,Yugoslavia,Switzerland,Country,Year
0,65,0,0,4,0,7,10,7,0,3,0,0,4,0,0,4,7,3,5,3,2,0,6,Norway,1987
1,73,2,0,1,5,6,4,0,10,0,0,0,3,0,4,10,8,0,7,0,5,0,8,Israel,1987
2,8,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,Austria,1987
3,28,4,0,0,0,4,0,0,0,4,0,6,0,0,0,0,10,0,0,0,0,0,0,Iceland,1987
4,56,5,2,3,0,0,0,6,0,7,4,0,0,5,8,0,4,5,3,0,0,4,0,Belgium,1987
5,50,0,12,0,8,1,0,3,7,0,2,0,0,0,0,3,0,7,0,7,0,0,0,Sweden,1987
6,103,0,3,6,3,5,1,0,12,12,8,0,0,4,1,0,12,1,4,0,12,12,7,Italy,1987
7,15,0,0,0,0,0,0,0,0,8,0,5,0,0,0,0,2,0,0,0,0,0,0,Portugal,1987
8,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,Spain,1987
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Turkey,1987
10,64,0,0,0,1,2,6,8,0,0,0,0,5,7,5,7,0,12,0,6,0,5,0,Greece,1987
11,83,0,5,2,0,0,0,10,0,5,7,3,0,8,3,12,0,0,2,2,6,8,10,Netherlands,1987
12,4,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Luxembourg,1987
13,47,0,10,5,0,3,5,0,3,0,3,0,0,1,0,0,0,2,1,4,3,2,5,United Kingdom,1987
14,44,1,0,0,4,0,0,5,0,0,0,4,1,12,0,0,5,0,0,0,10,0,2,France,1987
15,141,3,8,10,12,10,7,4,5,1,6,0,10,6,10,6,0,6,10,12,7,7,1,Germany,1987
16,80,6,0,0,6,0,2,0,0,0,0,12,2,0,6,5,3,0,6,10,8,10,4,Cyprus,1987
17,32,10,0,0,0,0,3,0,4,2,0,1,8,2,0,0,1,0,0,0,0,1,0,Finland,1987
18,83,7,6,7,7,0,8,2,1,0,1,8,6,0,7,8,0,0,8,0,4,0,3,Denmark,1987
19,172,8,4,12,0,12,12,12,8,10,10,0,12,10,12,1,6,8,12,5,0,6,12,Ireland,1987
20,92,12,7,8,10,8,0,0,6,6,12,2,0,0,0,2,0,10,0,8,1,0,0,Yugoslavia,1987
21,26,0,1,0,2,0,0,0,0,0,5,0,7,3,0,0,0,4,0,1,0,3,0,Switzerland,1987
