,Total score,Iceland,Sweden,Finland,United Kingdom,Turkey,Spain,Netherlands,Israel,Switzerland,Ireland,Germany,Austria,Denmark,Greece,Norway,Belgium,Luxembourg,Italy,France,Portugal,Yugoslavia,Country,Year
0,20,0,1,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,1,2,8,0,Iceland,1988
1,52,3,0,0,2,0,0,8,0,0,5,0,0,8,0,12,1,3,10,0,0,0,Sweden,1988
2,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Finland,1988
3,136,1,5,10,0,12,10,0,10,5,7,10,10,10,6,5,12,8,12,0,3,0,United Kingdom,1988
4,37,0,4,0,1,0,5,1,8,0,0,8,0,0,0,0,0,4,0,6,0,0,Turkey,1988
5,58,2,0,0,0,5,0,0,2,6,0,0,8,1,8,2,6,6,8,0,0,4,Spain,1988
6,70,0,0,0,6,6,0,0,7,7,2,6,0,0,12,0,0,12,5,0,0,7,Netherlands,1988
7,85,6,0,6,4,0,6,3,0,10,1,5,2,0,3,0,10,5,3,10,10,1,Israel,1988
8,137,7,12,5,10,10,8,10,4,0,10,12,0,0,10,8,4,1,7,1,12,6,Switzerland,1988
9,79,0,7,2,3,2,12,6,0,4,0,7,6,7,0,7,5,0,0,4,5,2,Ireland,1988
10,48,8,0,0,5,1,3,0,5,0,6,0,0,6,0,4,0,0,0,0,2,8,Germany,1988
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Austria,1988
12,92,10,3,4,0,0,1,12,6,1,4,4,12,0,0,10,7,0,0,12,6,0,Denmark,1988
13,10,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,Greece,1988
14,88,5,8,7,12,0,0,7,1,0,8,1,3,5,7,0,3,0,4,0,7,10,Norway,1988
15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,Belgium,1988
16,90,4,10,12,7,0,0,5,0,12,12,0,1,2,2,6,8,0,2,0,4,3,Luxembourg,1988
17,52,0,0,8,0,4,7,0,0,8,0,2,5,0,0,3,0,2,0,8,0,5,Italy,1988
18,64,0,2,3,0,8,2,2,0,3,0,3,7,3,5,1,2,10,0,0,1,12,France,1988
19,5,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Portugal,1988
20,87,12,6,1,8,7,0,0,12,2,3,0,4,12,4,0,0,7,6,3,0,0,Yugoslavia,1988
