,Total score,Italy,Israel,Ireland,Netherlands,Turkey,Belgium,United Kingdom,Norway,Portugal,Sweden,Luxembourg,Denmark,Austria,Finland,France,Spain,Cyprus,Switzerland,Greece,Iceland,Germany,Yugoslavia,Country,Year
0,56,0,0,0,0,0,0,0,0,7,0,0,0,0,10,0,12,6,2,4,0,7,8,Italy,1989
1,50,1,0,7,3,0,0,2,0,0,5,0,5,0,5,0,0,0,7,0,5,3,7,Israel,1989
2,21,0,0,0,0,7,3,0,3,0,0,2,0,0,0,0,0,0,0,0,0,4,2,Ireland,1989
3,45,10,0,3,0,0,0,3,0,0,0,1,0,4,4,7,6,0,0,1,0,6,0,Netherlands,1989
4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,Turkey,1989
5,13,0,0,5,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Belgium,1989
6,130,6,7,4,7,1,0,0,12,12,10,12,1,8,6,12,10,2,0,2,0,12,6,United Kingdom,1989
7,30,0,2,0,2,5,8,0,0,0,2,0,6,0,0,4,0,0,1,0,0,0,0,Norway,1989
8,39,0,0,0,0,4,2,0,1,0,3,7,0,6,2,0,8,0,0,6,0,0,0,Portugal,1989
9,110,0,6,0,0,0,6,4,8,8,0,6,12,12,0,2,5,8,3,8,2,8,12,Sweden,1989
10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,Luxembourg,1989
11,111,5,1,10,12,6,4,10,10,2,12,3,0,7,12,6,0,0,0,0,10,0,1,Denmark,1989
12,97,12,8,0,0,3,12,0,0,0,7,0,4,0,1,0,2,10,8,12,8,5,5,Austria,1989
13,76,0,10,8,6,10,0,0,0,1,4,4,0,3,0,10,7,3,0,0,0,0,10,Finland,1989
14,60,3,5,6,4,0,0,0,5,0,1,8,3,5,3,0,0,7,0,5,0,2,3,France,1989
15,88,8,0,0,0,2,7,7,4,0,0,10,0,0,8,8,0,4,10,10,0,10,0,Spain,1989
16,51,2,3,1,0,0,0,6,0,6,0,0,8,2,0,0,0,0,4,7,12,0,0,Cyprus,1989
17,47,4,4,0,10,8,0,8,0,3,0,0,2,1,0,0,0,0,0,0,7,0,0,Switzerland,1989
18,56,0,0,0,1,0,1,5,6,10,0,0,0,0,0,1,4,12,12,0,4,0,0,Greece,1989
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Iceland,1989
20,46,7,0,2,0,0,5,1,0,5,6,0,7,0,0,0,0,1,6,3,3,0,0,Germany,1989
21,137,0,12,12,8,12,10,12,7,4,8,5,10,10,7,3,0,5,5,0,6,1,0,Yugoslavia,1989
