,Total score,Spain,Greece,Belgium,Turkey,Netherlands,Luxembourg,United Kingdom,Iceland,Norway,Israel,Denmark,Switzerland,Germany,France,Yugoslavia,Portugal,Ireland,Sweden,Italy,Austria,Cyprus,Finland,Country,Year
0,96,0,8,1,10,2,0,1,4,5,0,0,6,12,5,3,5,0,0,8,8,8,10,Spain,1990
1,11,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,Greece,1990
2,46,0,0,0,0,7,4,0,0,1,0,0,4,8,8,0,2,1,7,0,4,0,0,Belgium,1990
3,21,0,0,0,0,3,0,0,2,4,0,0,0,5,0,7,0,0,0,0,0,0,0,Turkey,1990
4,25,0,1,0,3,0,1,4,0,0,2,0,3,0,6,0,1,0,0,2,0,2,0,Netherlands,1990
5,38,0,4,0,0,0,0,3,0,0,0,0,0,3,12,2,3,0,0,1,5,5,0,Luxembourg,1990
6,87,7,5,12,0,0,3,0,0,0,10,3,10,1,10,10,0,6,0,6,1,3,0,United Kingdom,1990
7,124,4,3,10,1,0,8,12,0,10,8,10,7,0,0,4,12,7,8,3,10,0,7,Iceland,1990
8,8,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,3,0,0,0,0,0,Norway,1990
9,16,0,0,0,0,4,0,0,0,0,0,0,2,4,0,1,0,0,0,0,0,0,5,Israel,1990
10,64,6,0,3,2,0,0,0,7,7,7,0,1,0,0,0,7,4,3,7,6,4,0,Denmark,1990
11,51,1,12,0,6,0,2,0,0,0,0,12,0,0,1,5,8,0,0,0,0,1,3,Switzerland,1990
12,60,8,0,6,0,0,12,7,1,0,0,4,0,0,0,0,0,10,4,5,3,0,0,Germany,1990
13,132,5,0,4,4,12,0,0,12,12,6,5,12,10,0,12,4,8,5,0,2,7,12,France,1990
14,81,3,0,0,12,0,0,5,10,3,12,7,0,0,2,0,0,5,1,10,0,10,1,Yugoslavia,1990
15,9,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Portugal,1990
16,132,10,7,7,5,10,6,10,8,8,0,8,5,7,7,0,6,0,12,0,12,0,4,Ireland,1990
17,24,2,2,0,0,6,0,6,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,Sweden,1990
18,149,12,10,8,8,8,10,0,3,0,1,6,8,6,4,6,10,12,10,0,7,12,8,Italy,1990
19,58,0,0,2,7,1,5,8,6,0,0,0,0,0,3,8,0,2,2,12,0,0,2,Austria,1990
20,36,0,6,5,0,0,0,0,0,2,5,2,0,0,0,0,0,0,6,4,0,0,6,Cyprus,1990
21,8,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,Finland,1990
