,Total score,Yugoslavia,Iceland,Malta,Greece,Switzerland,Austria,Luxembourg,Sweden,France,Turkey,Ireland,Portugal,Denmark,Norway,Israel,Finland,Germany,Belgium,Spain,United Kingdom,Cyprus,Italy,Country,Year
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yugoslavia,1991
1,26,0,0,0,0,4,0,0,10,0,0,0,0,0,0,0,0,5,0,0,0,0,7,Iceland,1991
2,106,1,0,0,2,6,4,10,12,2,7,12,7,0,6,0,0,10,4,6,7,0,10,Malta,1991
3,36,4,0,5,0,0,2,0,0,0,0,1,0,0,1,4,1,0,1,5,0,10,2,Greece,1991
4,118,5,5,0,7,0,8,12,8,4,2,2,6,5,3,8,5,6,12,0,8,8,4,Switzerland,1991
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Austria,1991
6,29,0,4,0,0,0,5,0,1,0,3,0,2,4,0,0,0,3,2,0,3,2,0,Luxembourg,1991
7,146,6,12,0,0,10,10,7,0,0,6,3,10,12,8,10,8,12,10,4,12,6,0,Sweden,1991
8,146,10,7,3,8,7,12,0,5,0,0,7,5,0,12,12,10,8,7,8,6,7,12,France,1991
9,44,0,0,7,0,0,0,0,0,7,0,0,0,8,0,7,0,0,0,2,5,0,8,Turkey,1991
10,47,3,0,4,0,3,1,8,0,0,4,0,0,7,0,1,2,2,5,0,4,0,3,Ireland,1991
11,62,0,8,0,4,1,0,2,7,10,5,0,0,1,2,0,7,0,0,10,0,4,1,Portugal,1991
12,8,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,Denmark,1991
13,14,0,6,0,0,0,0,1,0,0,1,0,0,2,0,0,0,4,0,0,0,0,0,Norway,1991
14,139,12,10,8,5,8,0,5,6,3,12,8,4,10,7,0,6,0,8,12,10,5,0,Israel,1991
15,6,0,1,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,Finland,1991
16,10,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,3,0,Germany,1991
17,23,0,0,0,0,0,3,0,2,5,0,0,0,0,0,0,3,0,0,3,2,0,5,Belgium,1991
18,119,8,2,6,10,12,7,6,4,6,8,6,8,0,4,2,4,7,6,0,1,12,0,Spain,1991
19,47,0,0,10,3,5,6,3,0,1,0,0,1,3,0,5,0,0,3,0,0,1,6,United Kingdom,1991
20,60,2,3,12,12,0,0,4,0,12,0,5,3,0,0,6,0,1,0,0,0,0,0,Cyprus,1991
21,89,7,0,2,6,2,0,0,0,8,10,10,12,0,10,3,12,0,0,7,0,0,0,Italy,1991
