,Total score,Spain,Belgium,Israel,Turkey,Greece,France,Sweden,Portugal,Cyprus,Malta,Iceland,Finland,Switzerland,Luxembourg,Austria,United Kingdom,Ireland,Denmark,Italy,Yugoslavia,Norway,Germany,Netherlands,Country,Year
0,37,0,1,0,1,4,6,0,0,0,2,0,3,0,3,2,1,0,1,7,0,5,0,1,Spain,1992
1,11,3,0,0,4,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Belgium,1992
2,85,10,0,0,2,0,8,4,7,4,7,0,0,4,8,1,7,0,2,0,12,2,4,3,Israel,1992
3,17,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,6,0,0,0,Turkey,1992
4,94,0,0,7,8,0,7,3,5,12,0,2,5,10,0,4,0,0,0,12,7,8,0,4,Greece,1992
5,73,6,0,12,3,0,0,0,0,3,0,0,7,12,0,0,0,5,0,6,0,10,3,6,France,1992
6,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,Sweden,1992
7,26,0,0,8,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,5,0,8,0,Portugal,1992
8,57,0,0,3,0,10,2,0,2,0,1,0,8,2,0,0,0,6,0,4,8,3,0,8,Cyprus,1992
9,123,12,10,0,0,7,0,12,12,1,0,8,0,5,12,8,0,10,8,3,10,0,0,5,Malta,1992
10,80,8,4,4,0,6,0,6,6,0,0,0,0,3,5,7,12,0,5,5,0,1,6,2,Iceland,1992
11,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,Finland,1992
12,32,0,5,0,0,0,0,0,0,0,0,12,0,0,0,0,4,1,0,10,0,0,0,0,Switzerland,1992
13,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,Luxembourg,1992
14,63,2,8,0,0,8,0,1,3,8,4,0,0,0,0,0,10,12,7,0,0,0,0,0,Austria,1992
15,139,5,12,2,10,0,10,5,0,6,6,4,6,8,7,12,0,7,12,8,0,0,12,7,United Kingdom,1992
16,155,1,7,0,12,12,0,10,4,5,12,7,10,6,10,10,8,0,10,2,2,7,10,10,Ireland,1992
17,47,4,0,6,0,0,0,7,1,0,0,6,0,0,6,3,3,0,0,0,0,6,5,0,Denmark,1992
18,111,0,0,0,5,3,12,8,8,10,5,10,12,7,0,6,0,0,0,0,0,12,1,12,Italy,1992
19,44,0,0,10,6,1,5,0,0,2,3,5,4,0,2,0,0,4,0,0,0,0,2,0,Yugoslavia,1992
20,23,0,3,0,0,0,0,2,0,0,0,1,1,0,4,0,5,0,6,0,1,0,0,0,Norway,1992
21,27,0,6,0,0,0,0,0,10,0,0,0,0,0,0,0,6,2,3,0,0,0,0,0,Germany,1992
22,67,7,2,5,7,5,4,0,0,7,0,3,0,1,0,5,2,8,0,0,0,4,7,0,Netherlands,1992
