,Total score,Italy,Turkey,Germany,Switzerland,Denmark,Greece,Belgium,Iceland,Austria,Portugal,France,Sweden,Ireland,Luxembourg,Slovenia,Finland,Bosnia and Herzegovina,United Kingdom,Netherlands,Croatia,Spain,Cyprus,Israel,Norway,Malta,Country,Year
0,45,0,0,0,1,0,0,0,0,0,10,5,0,0,10,0,8,0,0,2,0,2,0,0,0,7,Italy,1993
1,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,6,0,0,0,0,Turkey,1993
2,18,8,0,0,2,3,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,Germany,1993
3,148,10,0,12,0,10,7,8,4,6,1,12,6,7,12,8,4,0,10,8,2,3,6,4,3,5,Switzerland,1993
4,9,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,5,0,0,0,0,0,0,0,0,Denmark,1993
5,64,2,2,2,0,0,0,0,0,0,0,7,0,0,0,0,6,0,0,5,0,8,12,7,7,6,Greece,1993
6,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Belgium,1993
7,69,7,5,4,7,5,5,0,0,4,2,2,4,2,0,0,0,4,6,0,4,4,1,3,0,0,Malta,1993
8,42,0,0,0,0,4,4,0,0,1,0,0,7,1,0,5,0,0,2,7,5,0,2,2,2,0,Iceland,1993
9,32,0,4,0,0,0,1,3,0,0,0,3,0,6,0,0,0,12,3,0,0,0,0,0,0,0,Austria,1993
10,60,0,0,1,0,1,2,0,2,5,0,8,2,0,4,0,2,0,1,12,0,12,3,0,5,0,Portugal,1993
11,121,0,7,0,4,12,3,0,8,7,12,0,8,10,6,4,1,0,4,3,8,0,10,8,6,0,France,1993
12,89,0,0,8,8,7,0,10,7,10,4,0,0,0,5,6,7,0,7,0,0,0,0,10,0,0,Sweden,1993
13,187,12,1,5,12,6,6,2,3,8,6,10,12,0,7,12,3,8,12,10,6,10,7,5,12,12,Ireland,1993
14,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,Luxembourg,1993
15,9,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,Slovenia,1993
16,20,0,3,0,0,0,8,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,Finland,1993
17,27,3,12,0,0,0,0,1,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,4,Bosnia and Herzegovina,1993
18,164,1,8,6,5,8,0,12,12,12,7,6,10,8,8,10,5,3,0,4,10,5,4,12,8,0,United Kingdom,1993
19,92,6,6,7,0,0,0,7,6,3,0,0,5,12,0,7,0,10,0,0,3,7,0,0,10,3,Netherlands,1993
20,31,0,0,0,3,0,0,4,0,0,5,0,0,0,0,0,0,0,8,0,0,1,0,6,4,0,Croatia,1993
21,58,5,0,0,6,0,0,5,0,2,0,0,0,0,0,2,10,6,0,0,7,0,5,1,1,8,Spain,1993
22,17,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,Cyprus,1993
23,4,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Israel,1993
24,120,0,10,10,10,0,12,6,10,0,8,0,0,5,1,3,12,7,0,6,12,0,8,0,0,0,Norway,1993
