,Total score,Sweden,Finland,Ireland,Cyprus,Iceland,United Kingdom,Croatia,Portugal,Switzerland,Estonia,Romania,Malta,Netherlands,Germany,Slovakia,Lithuania,Norway,Bosnia and Herzegovina,Greece,Austria,Spain,Hungary,Russia,Poland,France,Country,Year
0,48,0,0,0,0,2,0,0,0,7,2,0,3,6,5,0,5,10,0,0,5,1,2,0,0,0,Sweden,1994
1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,Finland,1994
2,226,10,7,0,8,12,10,12,12,12,10,8,5,12,12,6,10,12,10,0,10,10,10,12,8,8,Ireland,1994
3,51,0,10,0,0,3,0,0,5,2,0,0,0,0,0,0,0,5,0,12,0,4,0,2,5,3,Cyprus,1994
4,49,8,1,6,0,0,6,0,3,3,0,0,0,0,0,1,3,0,0,0,3,6,0,1,4,4,Iceland,1994
5,63,0,0,1,5,0,0,6,8,8,5,0,0,2,4,3,0,2,4,0,1,3,3,5,3,0,United Kingdom,1994
6,27,0,0,0,0,0,0,0,0,0,0,0,10,0,0,12,0,0,0,5,0,0,0,0,0,0,Croatia,1994
7,73,5,5,8,0,8,8,0,0,5,0,0,1,3,0,0,0,0,0,0,0,12,7,4,1,6,Portugal,1994
8,15,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0,5,Switzerland,1994
9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,Estonia,1994
10,14,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,6,0,0,0,0,0,0,Romania,1994
11,97,4,6,10,2,0,1,7,4,6,7,10,0,1,3,10,7,0,12,7,0,0,0,0,0,0,Malta,1994
12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,Netherlands,1994
13,128,6,3,5,6,7,7,10,10,0,3,12,0,4,0,7,4,1,7,0,2,8,12,7,7,0,Germany,1994
14,15,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,3,0,0,0,0,0,0,Slovakia,1994
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lithuania,1994
16,76,7,0,3,10,1,4,3,0,1,8,4,0,7,2,0,1,0,6,1,0,5,5,8,0,0,Norway,1994
17,39,0,2,0,0,0,0,4,0,0,0,0,7,0,0,8,0,0,0,0,0,7,1,0,0,10,Bosnia and Herzegovina,1994
18,44,2,4,0,12,0,0,0,0,0,0,6,4,0,1,5,0,4,0,0,0,0,4,0,2,0,Greece,1994
19,19,1,0,0,7,0,3,2,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,Austria,1994
20,17,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,8,0,0,0,0,0,2,Spain,1994
21,122,12,12,12,0,10,2,5,1,4,4,2,0,10,7,0,0,8,3,0,8,0,0,3,12,7,Hungary,1994
22,70,0,0,4,3,4,5,1,2,0,1,3,0,5,6,0,6,3,0,4,6,0,6,0,10,1,Russia,1994
23,166,0,8,7,1,6,12,8,7,10,12,7,2,8,10,4,12,6,8,0,12,0,8,6,0,12,Poland,1994
24,74,3,0,2,4,5,0,0,6,0,6,0,0,0,8,0,8,7,2,0,7,0,0,10,6,0,France,1994
