,Total score,Poland,Ireland,Germany,Bosnia and Herzegovina,Norway,Russia,Iceland,Austria,Spain,Turkey,Croatia,France,Hungary,Belgium,United Kingdom,Portugal,Cyprus,Sweden,Denmark,Slovenia,Israel,Malta,Greece,Country,Year
0,15,0,0,0,0,4,0,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,Poland,1995
1,44,0,0,1,5,1,5,3,0,3,5,0,1,0,0,0,0,0,10,1,5,0,0,4,Ireland,1995
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Germany,1995
3,14,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,3,0,0,0,0,Bosnia and Herzegovina,1995
4,148,12,10,4,1,0,12,12,0,4,12,0,10,6,5,4,12,7,0,2,7,10,6,12,Norway,1995
5,17,0,0,0,0,10,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,Russia,1995
6,31,0,6,0,0,2,3,0,4,0,0,0,2,0,0,0,0,0,6,8,0,0,0,0,Iceland,1995
7,67,2,0,0,0,3,0,0,0,6,4,0,8,4,10,5,2,0,4,10,0,2,0,7,Austria,1995
8,119,8,2,6,8,0,0,5,0,0,8,10,7,2,12,8,7,10,0,0,0,12,8,6,Spain,1995
9,21,0,0,0,0,0,0,0,0,2,0,5,0,0,1,2,0,0,0,0,3,1,7,0,Turkey,1995
10,91,0,3,0,10,7,0,10,0,12,7,0,0,0,0,0,4,5,0,0,12,4,12,5,Croatia,1995
11,94,7,5,8,0,6,0,8,10,0,2,3,0,10,6,1,0,2,3,6,8,7,0,2,France,1995
12,3,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hungary,1995
13,8,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Belgium,1995
14,76,5,1,0,4,0,1,0,12,0,0,0,12,7,7,0,10,0,5,7,0,5,0,0,United Kingdom,1995
15,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,Portugal,1995
16,79,1,0,3,0,5,4,2,0,5,0,1,0,12,8,3,0,0,8,5,4,6,4,8,Cyprus,1995
17,100,10,12,12,2,8,6,4,8,0,1,0,3,0,0,6,8,4,0,12,1,0,3,0,Sweden,1995
18,92,3,7,7,3,12,10,7,7,0,6,0,0,3,3,0,6,0,12,0,6,0,0,0,Denmark,1995
19,84,4,8,5,6,0,7,1,3,0,0,2,0,8,0,10,5,3,7,0,0,3,2,10,Slovenia,1995
20,81,0,0,10,7,0,8,0,6,0,0,4,0,5,4,12,0,8,2,0,10,0,5,0,Israel,1995
21,76,0,4,2,12,0,0,0,2,10,10,12,6,0,0,7,0,6,1,4,0,0,0,0,Malta,1995
22,68,6,0,0,0,0,0,0,5,8,0,7,5,0,2,0,3,12,0,0,2,8,10,0,Greece,1995
