,Total score,Turkey,United Kingdom,Spain,Portugal,Cyprus,Malta,Croatia,Austria,Switzerland,Greece,Estonia,Norway,France,Slovenia,Netherlands,Belgium,Ireland,Finland,Iceland,Poland,Bosnia and Herzegovina,Slovakia,Sweden,Country,Year
0,57,0,6,8,0,0,10,1,0,6,0,0,0,4,0,7,5,0,5,0,0,5,0,0,Turkey,1996
1,77,3,0,0,12,1,6,7,3,4,0,2,0,8,0,0,12,3,0,4,0,0,6,6,United Kingdom,1996
2,17,0,0,0,0,2,5,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,Spain,1996
3,92,5,2,0,0,12,0,10,1,10,5,0,12,5,0,6,6,0,3,10,0,1,0,4,Portugal,1996
4,72,0,12,7,3,0,2,8,2,5,12,0,0,2,0,0,0,1,6,0,0,0,10,2,Cyprus,1996
5,68,10,0,10,0,0,0,12,0,0,8,0,1,0,4,0,0,0,0,0,6,0,12,5,Malta,1996
6,98,8,4,5,10,8,7,0,0,1,1,6,7,0,3,5,4,6,0,5,2,10,5,1,Croatia,1996
7,68,4,0,0,5,0,12,0,0,0,2,7,0,12,1,0,0,8,0,0,8,6,3,0,Austria,1996
8,22,0,3,0,0,0,0,0,0,0,0,0,0,0,2,4,2,4,4,3,0,0,0,0,Switzerland,1996
9,36,0,7,0,0,10,1,0,0,2,0,0,3,0,0,1,0,0,0,0,1,0,8,3,Greece,1996
10,94,0,10,4,0,7,0,0,5,0,0,0,8,1,8,3,0,2,12,12,10,0,0,12,Estonia,1996
11,114,2,8,0,2,3,0,5,8,7,0,5,0,7,10,10,8,7,7,8,4,3,0,10,Norway,1996
12,18,0,1,0,1,0,0,0,0,0,0,3,4,0,0,0,7,0,2,0,0,0,0,0,France,1996
13,16,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,Slovenia,1996
14,78,1,0,6,7,5,0,0,12,3,0,4,0,10,5,0,1,5,0,2,7,2,0,8,Netherlands,1996
15,22,0,5,12,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,Belgium,1996
16,162,12,0,0,8,6,4,0,7,12,10,12,10,6,12,12,3,0,10,0,12,12,7,7,Ireland,1996
17,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0,0,Finland,1996
18,51,0,0,3,6,0,0,0,6,0,3,8,5,0,6,0,0,10,0,0,3,0,1,0,Iceland,1996
19,31,7,0,0,0,4,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,7,2,0,Poland,1996
20,13,6,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Bosnia and Herzegovina,1996
21,19,0,0,2,0,0,8,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,Slovakia,1996
22,100,0,0,0,4,0,0,0,10,8,0,10,6,3,7,8,10,12,8,6,0,4,4,0,Sweden,1996
