,Total score,Cyprus,Turkey,Norway,Austria,Ireland,Slovenia,Switzerland,Netherlands,Italy,Spain,Germany,Poland,Estonia,Bosnia and Herzegovina,Portugal,Sweden,Greece,Malta,Hungary,Russia,Denmark,France,Croatia,United Kingdom,Iceland,Country,Year
0,98,0,0,2,0,3,4,4,10,4,10,5,0,1,0,3,0,12,7,0,1,7,4,4,5,12,Cyprus,1997
1,121,0,0,0,7,2,0,6,2,7,12,12,0,6,12,5,6,7,10,6,4,0,6,0,4,7,Turkey,1997
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Norway,1997
3,12,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,5,3,0,0,0,0,0,Austria,1997
4,157,8,6,3,10,0,1,7,4,10,6,8,7,8,8,10,10,0,0,8,5,10,10,6,12,0,Ireland,1997
5,60,2,10,0,0,0,0,0,0,0,0,0,2,4,7,4,0,3,5,0,10,0,7,3,0,3,Slovenia,1997
6,5,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Switzerland,1997
7,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,Netherlands,1997
8,114,6,5,0,1,1,10,10,7,0,8,4,8,0,6,12,3,5,0,3,7,4,0,10,3,1,Italy,1997
9,96,10,4,0,0,6,5,8,6,3,0,2,4,0,0,8,0,6,12,10,8,2,2,0,0,0,Spain,1997
10,22,0,0,0,3,0,0,5,0,5,0,0,0,0,0,0,0,0,3,1,0,0,0,5,0,0,Germany,1997
11,54,0,0,4,8,0,7,0,1,1,2,6,0,3,4,2,0,1,0,7,0,5,3,0,0,0,Poland,1997
12,82,1,0,0,6,8,3,0,0,12,4,7,6,0,1,1,1,0,0,4,0,8,8,0,10,2,Estonia,1997
13,22,0,8,0,4,0,0,2,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,1,0,0,Bosnia and Herzegovina,1997
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Portugal,1997
15,36,0,0,8,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,7,4,Sweden,1997
16,39,12,0,5,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,2,0,0,7,0,0,Greece,1997
17,66,5,12,10,0,7,0,0,0,6,1,0,0,0,5,0,0,8,0,0,0,3,1,8,0,0,Malta,1997
18,39,0,3,0,0,4,0,0,0,0,0,0,5,5,0,0,0,0,2,0,0,0,5,2,8,5,Hungary,1997
19,33,0,0,1,5,0,12,0,8,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,Russia,1997
20,25,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,2,6,Denmark,1997
21,95,3,2,12,0,10,2,3,5,0,0,0,12,12,3,6,2,4,0,2,6,1,0,0,0,10,France,1997
22,24,4,0,0,0,0,0,0,0,0,0,1,3,0,2,0,5,0,8,0,0,0,0,0,1,0,Croatia,1997
23,227,7,7,6,12,12,8,12,12,8,5,10,10,10,10,7,12,10,1,12,12,12,12,12,0,8,United Kingdom,1997
24,18,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,6,0,Iceland,1997
