,Total score,Croatia,Greece,France,Spain,Switzerland,Slovakia,Poland,Israel,Germany,Malta,Hungary,Slovenia,Ireland,Portugal,Romania,United Kingdom,Cyprus,Netherlands,Sweden,Belgium,Finland,Norway,Estonia,Turkey,Macedonia,Country,Year
0,131,0,5,8,1,5,10,6,10,10,10,0,12,3,2,0,2,7,4,3,5,3,6,3,4,12,Croatia,1998
1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,Greece,1998
2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,France,1998
3,21,1,0,4,0,6,0,0,3,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,Spain,1998
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Switzerland,1998
5,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slovakia,1998
6,19,0,0,2,0,0,0,0,0,5,0,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,Poland,1998
7,172,0,10,12,10,10,0,10,0,7,12,0,7,6,12,7,5,10,6,5,10,10,3,7,5,8,Israel,1998
8,86,0,3,0,12,12,0,0,0,0,0,0,8,8,10,6,6,0,12,0,7,1,0,1,0,0,Germany,1998
9,165,7,6,6,5,8,12,8,7,8,0,7,3,12,5,0,12,5,8,6,8,5,12,5,10,0,Malta,1998
10,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,Hungary,1998
11,17,3,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,3,0,Slovenia,1998
12,64,2,0,0,0,2,4,2,0,2,6,6,1,0,1,8,8,0,0,1,0,0,4,2,8,7,Ireland,1998
13,36,0,1,10,6,0,2,0,2,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,6,4,Portugal,1998
14,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Romania,1998
15,166,12,7,3,3,3,1,7,12,1,8,10,5,5,6,12,0,8,7,7,6,8,5,8,12,10,United Kingdom,1998
16,37,4,12,0,0,0,5,0,1,0,1,1,0,0,4,4,3,0,0,0,2,0,0,0,0,0,Cyprus,1998
17,150,10,8,5,4,7,6,5,8,6,7,12,0,10,7,0,10,0,0,8,12,7,8,0,7,3,Netherlands,1998
18,53,0,0,0,0,0,0,3,0,0,4,8,0,2,0,0,1,0,5,0,0,6,10,12,2,0,Sweden,1998
19,122,0,4,7,7,4,7,12,5,4,3,3,6,7,8,0,7,6,10,2,0,0,7,6,1,6,Belgium,1998
20,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,10,0,1,Finland,1998
21,79,0,0,0,8,1,0,4,4,3,5,5,10,4,3,0,4,3,3,12,4,2,0,4,0,0,Norway,1998
22,36,0,0,0,2,0,8,1,0,0,0,4,2,1,0,0,0,0,2,4,0,12,0,0,0,0,Estonia,1998
23,25,5,0,0,0,0,0,0,0,12,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,5,Turkey,1998
24,16,6,0,0,0,0,3,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,Macedonia,1998
