,Total score,Lithuania,Belgium,Spain,Croatia,United Kingdom,Slovenia,Turkey,Norway,Denmark,France,Netherlands,Poland,Iceland,Cyprus,Sweden,Portugal,Ireland,Austria,Israel,Malta,Germany,Bosnia and Herzegovina,Estonia,Country,Year
0,13,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,1,0,0,2,Lithuania,1999
1,38,0,0,0,4,0,0,0,0,0,2,10,2,0,0,0,0,10,0,5,0,0,0,5,Belgium,1999
2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Spain,1999
3,118,6,5,12,0,0,12,8,0,0,7,1,7,4,2,1,6,6,8,7,5,10,8,3,Croatia,1999
4,38,5,0,4,5,0,2,4,0,1,0,0,0,0,4,0,0,0,0,4,8,0,1,0,United Kingdom,1999
5,50,10,2,2,12,0,0,0,0,0,1,6,0,0,0,0,0,12,0,0,0,0,5,0,Slovenia,1999
6,21,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,12,0,0,Turkey,1999
7,35,0,0,0,7,0,0,0,0,6,0,0,0,7,7,5,0,3,0,0,0,0,0,0,Norway,1999
8,71,0,0,5,0,5,5,0,0,0,0,0,1,12,8,8,3,7,5,2,4,0,0,6,Denmark,1999
9,14,2,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,France,1999
10,71,4,12,3,0,8,3,5,0,7,0,0,0,6,0,4,2,1,4,6,2,0,4,0,Netherlands,1999
11,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,Poland,1999
12,146,8,8,10,0,10,0,10,10,12,0,7,4,0,12,12,4,4,2,10,10,3,0,10,Iceland,1999
13,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cyprus,1999
14,163,3,7,6,0,12,7,6,12,10,3,8,6,10,6,0,10,5,6,8,12,2,12,12,Sweden,1999
15,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,Portugal,1999
16,18,12,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ireland,1999
17,65,0,6,0,0,7,4,0,6,3,0,2,3,8,1,7,5,0,0,0,0,5,0,8,Austria,1999
18,93,0,3,8,8,0,1,3,2,2,10,4,10,1,10,3,8,0,1,0,6,7,2,4,Israel,1999
19,32,0,0,0,6,6,0,0,0,0,0,0,0,0,3,0,1,0,7,0,0,1,7,1,Malta,1999
20,140,0,10,7,3,1,6,12,3,5,8,12,12,5,0,2,12,0,10,12,3,0,10,7,Germany,1999
21,86,0,1,0,10,0,10,7,7,8,6,3,5,3,0,6,0,0,12,0,0,8,0,0,Bosnia and Herzegovina,1999
22,90,1,4,1,0,3,8,0,5,4,4,5,8,2,0,10,7,8,3,1,7,6,3,0,Estonia,1999
