,Total score,Israel,Netherlands,United Kingdom,Estonia,France,Romania,Malta,Norway,Russia,Belgium,Cyprus,Iceland,Spain,Denmark,Germany,Switzerland,Croatia,Sweden,Macedonia,Finland,Latvia,Turkey,Ireland,Austria,Country,Year
0,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Israel,2000
1,40,8,0,0,0,2,0,5,0,0,8,5,1,4,0,1,0,2,0,0,0,0,3,1,0,Netherlands,2000
2,28,1,0,0,2,0,3,6,0,0,0,3,0,0,0,0,0,4,0,0,0,3,6,0,0,United Kingdom,2000
3,98,6,7,4,0,0,6,7,4,0,2,6,5,0,4,5,0,6,6,0,8,10,2,7,3,Estonia,2000
4,5,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,France,2000
5,25,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,0,12,0,0,0,0,0,Romania,2000
6,73,3,1,2,1,0,7,0,2,8,1,8,0,1,3,3,0,8,3,8,0,4,5,3,2,Malta,2000
7,57,7,0,3,3,0,0,3,0,0,0,0,7,0,7,0,0,0,7,0,0,6,10,4,0,Norway,2000
8,155,10,0,8,10,5,12,12,8,0,7,12,8,5,6,4,2,12,5,7,5,0,0,10,7,Russia,2000
9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,Belgium,2000
10,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,Cyprus,2000
11,45,5,0,0,6,0,0,0,7,0,0,0,0,0,12,0,0,0,8,0,0,7,0,0,0,Iceland,2000
12,18,0,0,0,0,0,5,0,0,2,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,Spain,2000
13,195,12,10,12,8,7,1,8,10,12,10,4,12,10,0,12,10,0,12,0,10,12,1,12,10,Denmark,2000
14,96,0,8,5,0,10,0,0,3,4,6,0,6,12,2,0,12,1,0,0,2,8,0,5,12,Germany,2000
15,14,0,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,Switzerland,2000
16,70,0,0,0,0,8,8,0,0,10,0,0,0,2,0,6,6,0,0,10,6,0,8,0,6,Croatia,2000
17,88,0,0,6,5,1,0,4,5,0,5,0,4,6,10,8,3,0,0,6,7,0,12,6,0,Sweden,2000
18,29,0,0,0,0,0,10,0,0,7,0,2,0,0,0,0,0,10,0,0,0,0,0,0,0,Macedonia,2000
19,18,0,5,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,Finland,2000
20,136,4,4,7,12,3,0,0,12,1,12,1,10,7,8,7,7,0,10,3,12,0,0,8,8,Latvia,2000
21,59,0,12,0,0,12,0,0,1,0,3,0,0,0,1,10,5,0,1,5,4,0,0,0,5,Turkey,2000
22,92,2,3,10,4,4,2,10,6,0,4,7,2,3,5,0,8,5,4,0,1,1,7,0,4,Ireland,2000
23,34,0,0,1,0,0,0,2,0,0,0,0,3,8,0,2,4,0,0,0,3,5,4,2,0,Austria,2000
