,Total score,Netherlands,Iceland,Bosnia and Herzegovina,Norway,Israel,Russia,Sweden,Lithuania,Latvia,Croatia,Portugal,Ireland,Spain,France,Turkey,United Kingdom,Slovenia,Poland,Germany,Estonia,Malta,Greece,Denmark,Country,Year
0,16,0,0,0,0,5,1,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,Netherlands,2001
1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Iceland,2001
2,29,0,0,0,0,0,0,4,0,0,10,0,0,0,0,0,0,7,0,0,0,1,0,7,Bosnia and Herzegovina,2001
3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,Norway,2001
4,25,0,0,6,0,0,0,0,0,0,0,0,0,0,10,7,0,0,0,0,0,0,2,0,Israel,2001
5,37,0,5,0,0,3,0,0,10,8,0,0,0,0,0,0,0,0,0,0,4,2,5,0,Russia,2001
6,100,0,7,3,2,8,2,0,2,6,4,5,8,5,2,8,8,0,5,0,7,8,0,10,Sweden,2001
7,35,5,1,2,0,4,10,1,0,5,0,0,1,0,0,0,4,2,0,0,0,0,0,0,Lithuania,2001
8,16,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,Latvia,2001
9,42,0,0,7,0,0,0,0,0,0,0,0,0,0,0,10,0,5,0,3,0,10,7,0,Croatia,2001
10,18,0,0,0,0,0,0,0,0,0,0,0,0,6,12,0,0,0,0,0,0,0,0,0,Portugal,2001
11,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,Ireland,2001
12,76,7,2,5,4,12,0,5,0,4,0,7,3,0,5,6,3,1,1,0,3,0,8,0,Spain,2001
13,142,8,4,12,7,2,12,6,7,7,6,12,7,3,0,1,6,6,10,6,10,0,4,6,France,2001
14,41,3,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,0,7,0,4,10,3,Turkey,2001
15,28,2,0,0,0,0,3,0,3,3,3,2,4,1,0,0,0,0,2,2,0,3,0,0,United Kingdom,2001
16,70,4,6,10,6,1,4,7,4,0,8,0,2,2,1,0,0,0,6,4,5,0,0,0,Slovenia,2001
17,11,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,1,Poland,2001
18,66,1,0,0,3,0,8,0,0,1,1,10,6,10,6,3,2,0,4,0,1,5,1,4,Germany,2001
19,198,12,10,4,10,6,6,8,12,12,2,0,10,8,8,12,12,12,12,10,0,12,12,8,Estonia,2001
20,48,0,3,1,5,0,7,3,1,0,0,0,0,4,0,2,1,0,3,1,2,0,3,12,Malta,2001
21,147,6,8,8,8,10,5,12,5,2,5,4,5,12,3,5,7,8,8,8,6,7,0,5,Greece,2001
22,177,10,12,0,12,7,0,10,6,10,12,8,12,7,4,4,10,10,7,12,12,6,6,0,Denmark,2001
