,Total score,Cyprus,United Kingdom,Austria,Greece,Spain,Croatia,Russia,Estonia,Macedonia,Israel,Switzerland,Sweden,Finland,Denmark,Bosnia and Herzegovina,Belgium,France,Germany,Turkey,Malta,Romania,Slovenia,Latvia,Lithuania,Country,Year
0,85,0,3,0,12,6,10,6,4,0,0,0,1,4,0,0,3,0,0,0,12,8,4,8,4,Cyprus,2002
1,111,0,0,12,7,0,0,0,6,4,5,6,2,8,6,7,6,1,8,2,10,0,8,5,8,United Kingdom,2002
2,26,1,0,0,0,0,0,1,0,0,0,7,0,0,0,0,5,0,0,12,0,0,0,0,0,Austria,2002
3,27,12,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,Greece,2002
4,81,7,2,0,4,0,6,0,0,0,6,12,7,0,0,6,12,12,7,0,0,0,0,0,0,Spain,2002
5,44,6,0,6,5,0,0,0,0,5,0,5,0,0,0,2,0,0,3,0,0,0,12,0,0,Croatia,2002
6,55,5,0,0,2,0,0,0,10,0,1,0,0,3,0,0,0,0,0,0,8,10,0,10,6,Russia,2002
7,111,0,7,3,0,0,5,3,0,6,2,0,12,10,8,10,4,0,4,8,2,2,6,12,7,Estonia,2002
8,25,3,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,5,12,0,0,0,Macedonia,2002
9,37,0,5,0,0,0,0,0,0,0,0,1,0,5,1,0,2,10,5,0,0,5,0,3,0,Israel,2002
10,15,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,3,1,1,0,Switzerland,2002
11,72,0,1,4,1,0,0,0,8,0,3,0,0,7,10,12,1,0,0,4,0,0,7,4,10,Sweden,2002
12,24,2,0,0,0,0,0,0,5,1,0,0,10,0,3,3,0,0,0,0,0,0,0,0,0,Finland,2002
13,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1,0,0,0,1,Denmark,2002
14,33,0,0,7,0,3,7,0,0,3,0,0,6,0,2,0,0,0,0,0,3,0,2,0,0,Bosnia and Herzegovina,2002
15,33,0,4,0,0,1,0,7,0,0,0,0,3,0,4,0,0,2,0,10,0,0,0,0,2,Belgium,2002
16,104,0,10,0,3,8,0,0,3,0,7,10,8,12,5,8,10,0,6,0,0,4,3,2,5,France,2002
17,17,0,0,1,0,2,0,2,1,0,0,3,0,0,0,0,0,0,0,3,4,1,0,0,0,Germany,2002
18,29,0,0,0,0,4,3,0,0,8,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,Turkey,2002
19,164,10,12,8,6,10,12,5,7,10,10,4,4,2,12,4,7,6,10,5,0,0,10,7,3,Malta,2002
20,71,8,0,0,8,5,0,12,0,12,8,0,0,0,0,0,0,4,1,7,6,0,0,0,0,Romania,2002
21,33,0,6,2,0,7,8,0,0,2,0,2,0,0,0,1,0,5,0,0,0,0,0,0,0,Slovenia,2002
22,176,4,8,10,10,12,2,10,12,7,12,8,5,6,7,5,8,8,12,6,7,0,5,0,12,Latvia,2002
23,12,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,Lithuania,2002
