,Total score,Iceland,Austria,Ireland,Turkey,Malta,Bosnia and Herzegovina,Portugal,Croatia,Cyprus,Germany,Russia,Spain,Israel,Netherlands,United Kingdom,Ukraine,Greece,Norway,France,Poland,Latvia,Belgium,Estonia,Romania,Sweden,Slovenia,Country,Year
0,81,0,0,7,8,12,0,0,6,5,1,0,0,0,6,0,4,0,12,1,1,3,3,1,0,7,4,Iceland,2003
1,101,10,0,0,6,0,5,10,5,4,2,0,8,0,8,8,0,2,8,0,0,4,2,6,0,6,7,Austria,2003
2,53,2,0,0,5,5,0,7,4,7,0,0,0,0,0,12,1,0,6,0,0,1,1,0,0,0,2,Ireland,2003
3,167,3,12,0,0,4,12,8,10,8,10,0,3,7,12,7,2,7,10,10,2,0,12,0,10,8,10,Turkey,2003
4,4,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Malta,2003
5,27,0,7,0,12,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bosnia and Herzegovina,2003
6,13,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,6,0,0,0,0,0,0,0,Portugal,2003
7,29,0,5,6,3,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,Croatia,2003
8,15,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,0,Cyprus,2003
9,53,8,1,4,0,3,0,0,0,0,0,7,4,0,2,4,0,0,0,0,5,2,0,2,1,10,0,Germany,2003
10,164,4,8,0,10,1,3,4,12,10,8,0,6,10,1,0,12,10,2,7,4,12,7,12,7,2,12,Russia,2003
11,81,6,0,0,2,0,0,12,7,6,0,6,0,12,5,0,0,5,0,0,0,0,10,0,5,4,1,Spain,2003
12,17,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,3,0,8,0,0,0,0,0,0,0,Israel,2003
13,45,0,0,5,0,7,2,0,0,0,0,10,0,2,0,1,0,0,5,0,0,0,8,0,0,5,0,Netherlands,2003
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,United Kingdom,2003
15,30,0,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,10,5,0,3,0,0,0,Ukraine,2003
16,25,0,0,1,4,0,0,0,0,12,5,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,Greece,2003
17,123,12,2,12,0,6,0,5,0,0,7,4,0,3,7,6,7,0,0,3,6,7,6,10,3,12,5,Norway,2003
18,19,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,France,2003
19,90,0,10,0,0,10,0,0,0,0,12,0,5,0,4,2,8,6,4,5,0,8,5,4,4,3,0,Poland,2003
20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,Latvia,2003
21,165,7,4,10,7,0,10,6,0,3,6,3,12,8,10,5,10,8,3,12,12,10,0,8,8,0,3,Belgium,2003
22,14,1,0,8,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,Estonia,2003
23,73,0,6,0,1,0,7,0,1,2,4,12,10,6,0,0,6,4,1,4,8,0,0,0,0,1,0,Romania,2003
24,107,5,3,0,0,8,1,3,2,1,3,0,7,5,3,10,5,0,7,2,7,6,4,7,12,0,6,Sweden,2003
25,7,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slovenia,2003
