,Total score,Andorra,Albania,Austria,Bosnia and Herzegovina,Belgium,Belarus,Switzerland,Serbia and Montenegro,Cyprus,Germany,Denmark,Estonia,Spain,Finland,France,United Kingdom,Greece,Croatia,Ireland,Israel,Iceland,Lithuania,Latvia,Monaco,Macedonia,Malta,Netherlands,Norway,Poland,Portugal,Romania,Russia,Sweden,Slovenia,Turkey,Ukraine,Country,Year
0,87,12,0,0,0,7,2,6,0,7,2,0,0,0,0,8,0,3,0,0,8,1,0,0,3,1,3,4,0,1,12,5,0,0,0,2,0,Spain,2004
1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Austria,2004
2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,Norway,2004
3,40,7,1,0,0,10,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,2,0,4,0,0,0,0,France,2004
4,263,2,7,12,12,3,7,12,0,10,10,7,1,6,10,10,3,8,12,3,7,7,2,5,1,10,6,10,6,5,7,8,10,12,12,8,12,Serbia and Montenegro,2004
5,50,6,3,0,1,0,0,0,0,0,0,1,6,0,0,0,2,1,2,6,4,0,4,6,0,3,0,0,0,3,1,0,0,0,0,0,1,Malta,2004
6,11,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,Netherlands,2004
7,93,0,2,10,3,0,0,10,0,0,0,0,2,12,0,7,4,0,1,4,0,0,1,0,7,0,0,3,1,6,8,4,0,0,3,5,0,Germany,2004
8,106,0,0,5,4,1,0,7,8,0,5,4,0,0,3,1,1,10,6,2,0,4,0,1,0,12,10,1,3,0,0,1,0,7,4,6,0,Albania,2004
9,280,10,5,4,6,5,10,0,10,8,6,5,12,8,8,2,5,7,8,7,12,12,12,12,6,8,8,7,7,12,10,6,12,10,8,12,0,Ukraine,2004
10,50,0,0,3,10,0,5,3,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,5,0,7,Croatia,2004
11,91,0,10,7,0,0,0,5,6,0,0,8,0,0,0,0,0,0,10,0,0,0,0,0,4,4,0,2,10,0,0,0,0,8,10,7,0,Bosnia and Herzegovina,2004
12,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,Belgium,2004
13,67,0,0,0,0,0,12,0,1,6,0,0,8,0,4,0,0,2,0,0,6,0,8,10,0,0,0,0,0,0,0,0,0,0,0,0,10,Russia,2004
14,47,0,6,0,8,0,0,1,12,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,4,3,Macedonia,2004
15,252,8,12,2,5,8,6,4,7,12,7,3,5,7,6,6,12,0,7,5,10,6,10,7,10,7,12,6,2,7,6,12,7,4,6,10,8,Greece,2004
16,16,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,2,0,0,0,0,Iceland,2004
17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ireland,2004
18,27,0,0,0,0,0,0,0,0,2,4,0,0,1,0,0,0,4,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,1,0,0,5,Poland,2004
19,29,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,8,0,2,0,3,0,0,4,0,0,2,0,2,1,2,0,0,0,United Kingdom,2004
20,170,4,0,6,0,4,8,2,3,0,8,6,7,3,7,5,10,12,4,10,3,10,5,4,2,0,7,8,4,4,3,3,6,6,1,1,4,Cyprus,2004
21,195,3,8,8,7,12,3,8,2,4,12,10,0,2,5,12,6,6,3,1,2,5,3,2,8,6,0,12,8,8,0,10,8,5,0,0,6,Turkey,2004
22,18,0,0,0,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,Romania,2004
23,170,5,4,1,2,2,4,0,4,5,3,12,10,5,12,3,8,0,0,12,5,8,6,8,0,2,5,0,12,10,5,7,3,0,2,3,2,Sweden,2004
