,Total score,Austria,Lithuania,Portugal,Monaco,Belarus,Netherlands,Iceland,Belgium,Estonia,Finland,Andorra,Bulgaria,Ireland,Slovenia,Poland,Hungary,United Kingdom,Malta,Romania,Norway,Turkey,Moldova,Albania,Cyprus,Spain,Israel,Serbia and Montenegro,Denmark,Sweden,Macedonia,Ukraine,Germany,Croatia,Greece,Russia,Bosnia and Herzegovina,Switzerland,Latvia,France,Country,Year
0,97,0,0,2,0,2,0,6,2,3,0,6,5,0,0,10,0,0,0,8,0,6,0,0,7,5,8,6,0,0,1,2,0,6,2,3,1,0,3,3,Hungary,2005
1,18,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,4,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,United Kingdom,2005
2,192,5,2,0,5,5,5,4,8,4,8,0,0,10,1,0,5,10,0,2,10,8,0,4,6,7,10,0,10,6,0,10,8,4,8,12,0,3,5,7,Malta,2005
3,158,6,0,12,4,1,3,5,7,0,0,7,8,5,0,7,10,0,7,0,6,4,7,5,8,12,12,3,3,2,2,0,0,0,5,0,2,0,0,5,Romania,2005
4,125,0,5,0,0,4,1,12,3,8,12,2,1,4,4,8,0,5,5,0,0,0,3,0,3,3,1,2,12,8,0,6,0,0,4,0,3,0,6,0,Norway,2005
5,92,7,0,0,0,0,12,0,10,0,0,0,3,0,0,0,0,1,0,3,0,0,0,8,0,0,0,0,8,0,4,0,10,0,0,0,8,6,0,12,Turkey,2005
6,148,2,10,10,0,7,0,8,1,6,0,0,6,0,3,3,4,2,2,12,0,7,0,0,2,4,4,5,0,0,5,12,1,1,7,10,4,0,8,2,Moldova,2005
7,53,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,0,0,12,0,0,2,10,0,5,10,0,1,Albania,2005
8,46,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,3,12,1,0,0,0,7,0,0,0,1,0,0,0,0,0,0,12,0,0,0,0,0,Cyprus,2005
9,28,0,0,8,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,Spain,2005
10,154,1,3,5,12,8,7,0,6,1,5,8,0,6,0,0,8,7,8,7,5,3,6,3,0,6,0,0,5,1,0,7,5,0,0,8,0,1,2,10,Israel,2005
11,137,12,0,0,6,3,4,0,0,0,0,0,4,0,10,0,2,0,0,6,0,0,1,6,10,0,0,0,0,4,10,3,3,12,6,6,10,12,1,6,Serbia and Montenegro,2005
12,125,0,4,1,10,0,8,10,4,5,2,3,0,7,0,5,6,8,3,4,12,0,0,0,0,10,3,0,0,10,0,0,6,0,0,0,0,0,4,0,Denmark,2005
13,30,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,5,0,0,2,0,0,7,0,6,0,0,0,0,0,0,0,0,0,Sweden,2005
14,52,0,0,0,1,0,0,0,0,0,0,0,7,0,5,0,0,0,0,0,0,5,0,10,0,0,0,7,0,0,0,0,0,8,0,0,7,2,0,0,Macedonia,2005
15,30,0,0,7,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,Ukraine,2005
16,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Germany,2005
17,115,8,6,0,7,0,2,1,0,2,1,0,2,0,12,2,7,0,0,5,2,0,0,2,0,0,0,10,0,0,8,8,2,0,0,1,12,8,7,0,Croatia,2005
18,230,4,1,3,0,0,10,2,12,0,3,4,12,2,2,1,12,12,6,10,4,12,4,12,12,8,7,12,2,12,7,0,12,5,0,4,6,7,0,8,Greece,2005
19,57,0,7,0,0,12,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,10,0,Russia,2005
20,79,10,0,0,0,0,6,0,0,0,0,0,0,1,8,0,0,4,0,0,7,10,0,0,0,0,0,4,4,7,3,0,0,10,0,0,0,5,0,0,Bosnia and Herzegovina,2005
21,128,0,8,4,8,10,0,7,0,12,10,1,0,3,6,6,3,0,1,0,3,0,0,0,4,0,2,0,1,5,0,5,4,3,3,7,0,0,12,0,Switzerland,2005
22,153,0,12,6,0,6,0,3,5,10,4,10,0,12,7,4,1,6,10,0,8,0,12,0,1,0,6,0,6,3,0,1,7,7,1,5,0,0,0,0,Latvia,2005
23,11,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,France,2005
