,Total score,Slovenia,Andorra,Romania,Denmark,Latvia,Portugal,Sweden,Finland,Belgium,Croatia,Serbia and Montenegro,Norway,Estonia,Ireland,Malta,Lithuania,Cyprus,Netherlands,Switzerland,Ukraine,Russia,Poland,United Kingdom,Armenia,France,Belarus,Germany,Spain,Moldova,Bosnia and Herzegovina,Iceland,Monaco,Israel,Albania,Greece,Bulgaria,Macedonia,Turkey,Country,Year
0,30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,4,0,0,0,0,0,Switzerland,2006
1,22,0,0,12,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,Moldova,2006
2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Israel,2006
3,30,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,8,0,0,0,4,1,0,2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,Latvia,2006
4,36,0,0,0,1,6,0,2,5,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,1,0,1,0,0,3,0,4,1,0,0,2,0,0,0,Norway,2006
5,18,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,Spain,2006
6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Malta,2006
7,36,0,0,0,3,3,0,0,0,1,0,0,1,0,3,0,0,0,3,7,0,0,0,5,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,Germany,2006
8,26,0,0,0,0,0,0,8,3,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,Denmark,2006
9,248,4,6,8,2,12,7,7,12,3,7,5,3,10,5,5,12,8,2,0,12,0,10,1,12,2,12,6,7,10,6,5,0,12,4,8,10,8,5,Russia,2006
10,56,6,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,8,0,0,0,3,0,6,0,6,Macedonia,2006
11,172,5,3,0,6,2,10,6,6,2,5,4,4,4,6,10,1,10,0,1,1,4,3,6,4,7,3,5,12,12,2,2,0,10,2,7,2,2,3,Romania,2006
12,229,12,0,7,8,0,2,10,10,6,12,12,8,0,2,0,4,2,8,12,10,6,4,0,5,6,4,7,1,5,0,3,12,2,12,6,7,12,12,Bosnia and Herzegovina,2006
13,162,3,7,0,7,10,4,3,8,4,6,3,5,8,12,1,0,4,6,0,5,5,8,10,0,0,6,1,4,4,0,10,7,3,0,4,1,3,0,Lithuania,2006
14,25,0,2,0,4,1,0,0,0,0,1,0,2,2,8,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,United Kingdom,2006
15,128,0,1,10,0,0,0,4,1,10,0,6,0,0,0,8,3,12,5,5,0,0,0,7,8,5,2,8,0,1,1,0,0,0,8,0,12,7,4,Greece,2006
16,292,8,10,4,12,8,6,12,0,8,10,7,12,12,10,7,10,5,7,8,7,8,12,12,0,8,7,10,10,6,7,12,0,7,0,12,5,6,7,Finland,2006
17,145,2,5,3,0,5,12,1,2,0,4,2,0,5,1,2,7,6,1,0,0,10,6,0,10,0,10,0,3,8,5,6,2,6,0,5,3,5,8,Ukraine,2006
18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,France,2006
19,56,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,12,0,4,0,0,0,0,10,2,Croatia,2006
20,93,1,4,2,5,4,5,5,4,0,2,0,7,6,0,4,6,0,4,3,2,0,2,8,3,1,0,4,0,0,0,1,10,0,0,0,0,0,0,Ireland,2006
21,170,7,8,5,10,7,8,0,7,5,3,1,10,7,7,6,5,0,0,2,6,2,7,4,6,3,5,0,6,2,3,7,5,5,10,0,0,1,0,Sweden,2006
22,91,0,0,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,12,10,0,0,0,3,0,12,0,12,0,0,10,0,0,1,7,3,4,4,0,Turkey,2006
23,129,0,0,1,0,0,0,0,0,12,0,0,0,0,0,0,2,7,10,0,8,12,5,0,0,10,8,3,8,7,0,0,0,8,0,10,8,0,10,Armenia,2006
