,Total score,Montenegro,Belarus,Armenia,Andorra,Austria,France,Denmark,Greece,Spain,Serbia,Finland,Turkey,Bosnia and Herzegovina,Belgium,Portugal,Albania,Romania,Cyprus,Croatia,Slovenia,Israel,Germany,Lithuania,Norway,Switzerland,Czech Republic,Netherlands,Ireland,Malta,Estonia,Georgia,Bulgaria,Sweden,Ukraine,Russia,Latvia,Iceland,Poland,Moldova,United Kingdom,Macedonia,Hungary,Country,Year
0,106,7,0,1,0,8,1,7,0,0,8,0,10,0,0,0,8,0,0,10,8,0,3,0,6,8,4,7,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,Bosnia and Herzegovina,2007
1,43,4,0,0,0,0,6,0,1,0,0,0,0,0,3,8,12,0,0,0,0,2,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Spain,2007
2,145,3,0,10,0,0,0,0,5,0,2,0,0,4,0,1,2,1,6,0,0,12,0,7,0,0,2,0,0,10,7,8,1,0,12,12,8,4,7,10,0,7,4,Belarus,2007
3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ireland,2007
4,53,0,1,0,7,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,1,0,0,0,0,6,0,0,12,0,0,0,12,0,0,0,0,0,Finland,2007
5,73,10,0,0,0,1,0,0,0,0,10,0,1,8,0,0,3,0,0,8,10,0,0,0,0,6,5,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,Macedonia,2007
6,66,8,4,0,0,0,0,0,0,3,5,0,0,7,2,3,0,0,0,7,0,0,0,1,0,0,0,0,0,5,0,0,0,0,4,3,4,0,4,0,0,6,0,Slovenia,2007
7,128,0,0,0,6,2,0,8,0,0,12,10,0,0,5,2,0,8,0,4,5,0,7,4,8,3,0,4,5,1,4,5,0,8,0,0,5,8,2,0,2,0,0,Hungary,2007
8,28,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,10,0,0,0,3,0,0,Lithuania,2007
9,139,0,3,8,0,0,3,1,0,2,4,0,4,3,8,0,7,10,12,0,0,1,10,0,0,4,3,5,0,0,0,4,12,4,0,0,0,5,0,6,10,3,7,Greece,2007
10,97,0,6,5,0,0,0,0,3,0,0,7,5,1,6,0,0,0,1,2,2,6,0,12,0,0,1,2,1,0,5,0,0,0,8,7,6,0,5,4,0,0,2,Georgia,2007
11,51,0,0,0,2,0,0,12,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,7,0,0,Sweden,2007
12,19,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,France,2007
13,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,6,0,0,10,3,0,0,3,10,4,10,0,0,0,0,0,0,0,1,0,4,0,0,Latvia,2007
14,207,6,12,12,3,0,2,2,8,4,7,3,8,2,0,4,0,3,7,3,3,8,6,6,5,0,6,0,6,6,12,7,5,5,10,0,7,1,3,8,6,5,6,Russia,2007
15,49,0,0,0,5,7,0,5,0,5,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,7,0,6,0,0,3,0,0,1,0,0,0,2,0,0,1,0,0,Germany,2007
16,268,12,7,7,0,12,8,6,4,1,0,12,0,12,7,5,1,6,3,12,12,3,8,0,10,12,8,8,4,8,0,6,6,10,6,5,3,7,8,5,0,12,12,Serbia,2007
17,235,2,10,6,12,4,4,3,7,7,3,6,3,5,1,12,0,4,4,5,4,10,5,8,2,2,12,1,8,3,8,10,3,3,0,8,12,6,12,7,8,2,3,Ukraine,2007
18,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,United Kingdom,2007
19,84,0,0,0,10,3,7,0,2,12,0,0,2,0,0,7,0,0,5,0,0,7,0,0,0,0,0,0,3,0,0,0,2,0,2,1,1,0,0,12,0,0,8,Romania,2007
20,157,5,0,4,0,6,5,0,12,10,6,5,6,6,4,6,0,5,10,6,7,0,4,0,0,0,7,0,0,7,1,0,0,0,3,4,2,0,0,3,5,8,10,Bulgaria,2007
21,163,1,0,0,0,10,12,10,0,0,0,4,0,10,12,0,10,7,0,0,0,0,12,0,7,10,0,12,0,0,0,2,7,7,1,2,0,3,0,1,12,10,1,Turkey,2007
22,138,0,5,0,0,5,10,0,6,8,0,0,12,0,10,0,0,0,8,0,0,5,2,0,0,0,10,10,0,0,0,12,8,0,5,10,0,0,10,2,0,0,0,Armenia,2007
23,109,0,8,3,4,0,0,0,10,6,1,2,7,0,0,10,0,12,2,0,1,4,0,2,1,0,0,0,2,0,0,3,4,2,7,6,0,0,6,0,0,1,5,Moldova,2007
