,Total score,United Kingdom,Macedonia,Ukraine,Germany,Estonia,Bosnia and Herzegovina,Albania,Belgium,San Marino,Latvia,Bulgaria,Serbia,Israel,Cyprus,Moldova,Iceland,France,Romania,Portugal,Norway,Hungary,Andorra,Poland,Slovenia,Armenia,Czech Republic,Spain,Netherlands,Turkey,Malta,Ireland,Switzerland,Azerbaijan,Greece,Finland,Croatia,Sweden,Belarus,Lithuania,Russia,Montenegro,Georgia,Denmark,Country,Year
0,45,0,0,0,0,0,0,0,0,1,0,0,0,6,3,12,0,4,0,4,0,0,0,0,0,0,0,12,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,Romania,2008
1,14,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,United Kingdom,2008
2,55,0,12,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,8,1,10,0,8,0,0,0,0,7,0,0,Albania,2008
3,14,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Germany,2008
4,199,0,1,7,6,0,6,2,12,8,0,8,5,8,10,2,1,12,4,0,0,0,0,12,5,0,12,10,12,10,0,0,0,0,12,0,0,2,7,0,12,1,12,0,Armenia,2008
5,110,0,5,0,5,0,0,0,0,0,0,0,12,0,0,0,0,2,0,0,10,0,0,0,10,0,1,0,7,6,0,2,7,3,0,6,12,10,0,0,0,10,0,2,Bosnia and Herzegovina,2008
6,124,0,0,5,3,0,5,4,5,10,0,2,7,0,2,6,0,6,6,0,3,3,0,5,3,6,0,0,3,0,0,0,1,7,1,8,2,0,4,3,6,5,3,0,Israel,2008
7,35,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,7,0,0,0,4,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,Finland,2008
8,44,0,2,1,2,0,10,0,0,0,5,0,3,0,0,0,0,0,1,3,0,0,0,0,8,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,2,1,0,Croatia,2008
9,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,Poland,2008
10,64,6,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,7,8,0,0,0,0,0,0,4,0,0,6,0,0,0,0,7,0,8,0,0,0,0,0,12,Iceland,2008
11,138,8,7,4,10,0,8,10,10,4,0,5,0,0,0,0,0,10,8,0,2,5,0,0,0,0,0,0,10,0,0,0,6,12,0,4,0,0,3,0,2,0,6,4,Turkey,2008
12,69,0,0,3,4,0,0,0,6,5,0,0,1,0,0,0,6,8,0,0,0,0,10,0,0,0,0,8,5,0,0,0,10,0,0,0,3,0,0,0,0,0,0,0,Portugal,2008
13,83,10,0,0,0,7,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,2,0,0,0,3,2,0,0,7,12,0,0,0,0,4,3,0,10,0,3,2,6,Latvia,2008
14,47,0,0,0,0,2,0,3,0,0,0,0,2,1,1,0,3,0,0,0,7,1,0,0,0,0,0,1,0,0,12,0,0,0,0,5,0,0,0,1,0,0,0,8,Sweden,2008
15,60,3,0,0,0,3,0,0,0,2,7,0,0,0,0,0,12,0,0,5,12,2,0,0,0,0,2,0,0,0,4,1,0,0,0,0,0,5,0,2,0,0,0,0,Denmark,2008
16,83,0,0,8,0,5,0,0,0,0,8,0,0,2,7,3,0,0,0,1,0,0,0,0,0,10,4,0,0,4,5,0,0,4,4,0,0,0,6,5,7,0,0,0,Georgia,2008
17,230,5,4,0,0,4,3,8,1,0,10,7,6,10,6,7,5,0,3,12,0,6,6,10,2,5,8,7,0,8,10,6,0,10,6,3,7,0,10,6,8,4,10,7,Ukraine,2008
18,47,2,0,0,0,6,0,0,0,0,3,0,0,0,0,0,8,0,0,0,1,0,3,1,0,4,0,0,0,0,0,0,0,0,0,2,0,4,0,8,0,0,0,5,France,2008
19,132,0,8,10,1,0,0,0,7,0,4,3,0,3,0,8,0,0,2,0,0,12,7,7,1,0,10,0,2,12,0,0,0,0,3,0,0,0,8,7,10,0,7,0,Azerbaijan,2008
20,218,12,3,2,12,1,7,12,8,12,0,10,8,5,12,4,0,3,12,0,0,8,8,3,6,8,5,3,6,7,2,4,5,6,0,0,5,1,2,0,3,6,4,3,Greece,2008
21,55,1,0,0,0,0,0,1,4,0,0,0,0,0,4,0,0,5,0,10,0,0,12,0,0,1,0,0,0,3,0,0,4,0,8,1,0,0,0,0,0,0,0,1,Spain,2008
22,160,0,10,0,8,0,12,5,0,0,0,4,0,0,5,1,2,7,7,0,6,7,0,4,12,3,6,0,8,0,1,0,12,2,5,0,10,6,1,0,4,12,0,0,Serbia,2008
23,272,0,6,12,7,12,4,6,3,0,12,6,10,12,8,10,0,1,10,6,5,10,5,6,7,12,7,5,1,5,8,5,0,8,7,10,6,0,12,12,0,8,8,0,Russia,2008
24,182,7,0,6,0,8,2,7,2,7,6,1,4,7,0,5,10,0,5,2,0,4,1,8,0,7,0,6,4,2,3,7,0,5,2,12,1,12,5,4,5,0,5,10,Norway,2008
